Comment,Designator,Footprint,LCSC
~,"U1201,U1202,U301,U302",SOIC-16_3.9x9.9mm_P1.27mm,C133986
100nF,"C1001,C1101,C1301,C1401,C1501,C1601,C1701,C1801,C1901,C201,C401,C501,C601,C701,C801,C901",C_0402_1005Metric,C15195
BC847,Q2101,SOT-23,C181140
4k7,"R1003,R1103,R1303,R1403,R1503,R1603,R1703,R1803,R1903,R203,R2101,R403,R503,R603,R703,R803,R903",R_0603_smalltext,C23162
47R,"R1002,R1102,R1302,R1402,R1502,R1602,R1702,R1802,R1902,R202,R402,R502,R602,R702,R802,R902",R_0603_smalltext,C23182
100k,R2102,R_0603_smalltext,C25803
10k,"R1001,R1101,R1301,R1401,R1501,R1601,R1701,R1801,R1901,R201,R401,R501,R601,R701,R801,R901",R_0603_smalltext,C25804
RJ45,"J2101,J2102",RJ45_Amphenol_54602-x08_Horizontal,C2847314
100nF,"C1201,C1202,C301,C302",C_0402_1005Metric,C307331
4014,"U2001,U2002",SOIC-16_3.9x9.9mm_P1.27mm,C496106
EL814,"U1001,U1101,U1301,U1401,U1501,U1601,U1701,U1801,U1901,U201,U401,U501,U601,U701,U801,U901",SMDIP-4_W7.62mm,C500388
Screw_Terminal_01x03,"J101,J102,J105,J106,J107,J108","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C557666
SS53,"D1001,D1002,D1003,D1004,D1101,D1102,D1103,D1104,D1301,D1302,D1303,D1304,D1401,D1402,D1403,D1404,D1501,D1502,D1503,D1504,D1601,D1602,D1603,D1604,D1701,D1702,D1703,D1704,D1801,D1802,D1803,D1804,D1901,D1902,D1903,D1904,D201,D202,D203,D204,D401,D402,D403,D404,D501,D502,D503,D504,D601,D602,D603,D604,D701,D702,D703,D704,D801,D802,D803,D804,D901,D902,D903,D904",D_SMA,C8678
