Comment,Designator,Footprint,LCSC
6N137,U1001,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
470nF,C301,C_0805_2012Metric,C13967
100nF,C302,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
22nF,C903,C_0402_1005Metric,C1729
1k,R1001,R_0603_smalltext,C21190
1N4148WS,D1001,D_SOD-323,C2128
150k,R903,R_0603_1608Metric,C22807
220k,R901,R_0603_1608Metric,C22961
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R1002,R1003,R1004,R1005,R701,R702,R801,R802,R904,R905",R_0603_smalltext,C25804
L,L901,L_Bourns-SRU8028_8.0x8.0mm,C2929438
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C202,C902,C906",C_0402_1005Metric,C307331
default_switch,"SW601,SW602,SW603,SW604,SW605",default_switch,C318884
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C901,C904,C905",C_0603_1608Metric,C45783
Conn_02x03_Odd_Even,"J1001,J701,J801,J901",PinHeader_2x03_P2.54mm_Vertical,C65114
L78L05_SOT89,U301,SOT-89-3,C71136
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D1101,D1102,D1103,D1104",D_SMA,C8678
Screw_Terminal_01x04,J101,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",
1000uF,C1101,CP_Radial_D10.0mm_P3.50mm,
