Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,102.743305,-125.199897,90.0,top
C202,100nF,C_0402_1005Metric,105.165894,-122.193486,135.0,top
C203,12pF,C_0603_1608Metric,105.505305,-128.120897,0.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.4185,-129.678,0.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.5455,-122.693,0.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.3075,-120.534,0.0,top
C901,22uF,C_0603_1608Metric,105.918,-143.891,-90.0,top
C902,100nF,C_0402_1005Metric,105.41,-141.252,90.0,top
C903,22nF,C_0402_1005Metric,106.553,-141.252,90.0,top
C904,22uF,C_0603_1608Metric,100.315,-146.685,90.0,top
C905,22uF,C_0603_1608Metric,101.981,-146.685,90.0,top
C906,100nF,C_0402_1005Metric,98.933,-146.683,90.0,top
D101,MB10S,TO-269AA,99.187,-134.112,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.4445,-101.48,90.0,top
D701,1N4148WS,D_SOD-323,99.648,-109.22,90.0,top
D801,1N4148WS,D_SOD-323,141.386,-123.500001,90.0,top
D802,1N4148WS,D_SOD-323,141.259,-113.247001,90.0,top
D901,1N4148WS,D_SOD-323,125.003,-123.500001,90.0,top
D902,1N4148WS,D_SOD-323,124.876,-113.247001,90.0,top
D1001,1N4148WS,D_SOD-323,141.386,-143.502001,90.0,top
D1002,1N4148WS,D_SOD-323,141.259,-133.249001,90.0,top
D1101,1N4148WS,D_SOD-323,125.003,-143.502,90.0,top
D1102,1N4148WS,D_SOD-323,124.876,-133.249,90.0,top
J501,Servo,PinHeader_2x03_P2.54mm_Vertical,162.575,-138.435,-90.0,top
J701,Servo,PinHeader_2x03_P2.54mm_Vertical,162.575,-109.515,-90.0,top
K801,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,147.955,-122.809,0.0,top
K802,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,147.955,-112.459,0.0,top
K901,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,131.572,-122.809,0.0,top
K902,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,131.572,-112.459,0.0,top
K1001,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,147.955,-142.811,0.0,top
K1002,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,147.955,-132.461,0.0,top
K1101,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,131.572,-142.811,0.0,top
K1102,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,131.572,-132.461,0.0,top
L901,L,L_Bourns-SRU8028_8.0x8.0mm,111.887,-143.129,-90.0,top
Q801,AO3400A,SOT-23,140.497,-119.817001,180.0,top
Q802,AO3400A,SOT-23,140.3215,-109.530001,180.0,top
Q901,AO3400A,SOT-23,124.114,-119.817001,180.0,top
Q902,AO3400A,SOT-23,123.9385,-109.530001,180.0,top
Q1001,AO3400A,SOT-23,140.497,-139.819001,180.0,top
Q1002,AO3400A,SOT-23,140.3215,-129.532001,180.0,top
Q1101,AO3400A,SOT-23,124.114,-139.819,180.0,top
Q1102,AO3400A,SOT-23,123.9385,-129.532,180.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.4355,-101.3695,90.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.223,-104.023,180.0,top
R501,10k,R_0603_smalltext,155.575,-139.487,0.0,top
R502,10k,R_0603_smalltext,155.575,-137.836,0.0,top
R701,1k5,R_0603_smalltext,99.648,-113.792,90.0,top
R702,10k,R_0603_smalltext,85.551,-113.665,90.0,top
R703,10k,R_0603_smalltext,85.551,-109.855,90.0,top
R704,10k,R_0603_smalltext,155.956,-110.404,0.0,top
R705,10k,R_0603_smalltext,155.956,-108.753,0.0,top
R801,22R,R_0603_smalltext,140.497,-126.294001,0.0,top
R802,22R,R_0603_smalltext,140.37,-116.007001,0.0,top
R803,10k,R_0603_smalltext,139.354001,-123.500001,-90.0,top
R804,10k,R_0603_smalltext,139.227001,-113.316501,-90.0,top
R901,220k,R_0603_1608Metric,94.107,-145.669,90.0,top
R902,20k,R_0603_1608Metric,95.25,-142.494,90.0,top
R903,150k,R_0603_1608Metric,95.758,-145.669,-90.0,top
R904,22R,R_0603_smalltext,124.114,-126.294001,0.0,top
R905,22R,R_0603_smalltext,123.987,-116.007001,0.0,top
R906,10k,R_0603_smalltext,122.971001,-123.500001,-90.0,top
R907,10k,R_0603_smalltext,122.844001,-113.316501,-90.0,top
R1001,22R,R_0603_smalltext,140.497,-146.296001,0.0,top
R1002,22R,R_0603_smalltext,140.37,-136.009001,0.0,top
R1003,10k,R_0603_smalltext,139.354001,-143.502001,-90.0,top
R1004,10k,R_0603_smalltext,139.227001,-133.318501,-90.0,top
R1101,22R,R_0603_smalltext,124.114,-146.296,0.0,top
R1102,22R,R_0603_smalltext,123.987,-136.009,0.0,top
R1103,10k,R_0603_smalltext,122.971,-143.502,-90.0,top
R1104,10k,R_0603_smalltext,122.844,-133.3185,-90.0,top
SW101,default_switch,default_switch,106.172,-104.394,0.0,top
SW102,default_switch,default_switch,115.316,-102.362,0.0,top
SW103,default_switch,default_switch,115.443,-108.331,180.0,top
SW104,default_switch,default_switch,124.714,-104.394,0.0,top
SW105,default_switch,default_switch,138.049,-104.14,0.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,108.975305,-117.569897,315.0,top
U301,L78L05_SOT89,SOT-89-3,98.6365,-126.111,180.0,top
U701,6N137,SOP-8_6.62x9.15mm_P2.54mm,92.536,-111.379,90.0,top
U901,MT2499A,TI_SO-PowerPAD-8,100.6785,-142.24,180.0,top
Y201,Crystal_GND2,crystal_arduino,105.664305,-125.292897,-90.0,top
