Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,124.492359,-80.886,90.0,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.329859,-82.918,0.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.032359,-76.407,-45.0,top
C401,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.595,-58.3615,-90.0,top
C402,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.643,-58.3615,-90.0,top
C403,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,133.866,-59.1235,-90.0,top
D1,D,D_SOD-323,138.143,-39.5615,90.0,top
D2,~,4A rectifier,130.556,-51.054,0.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.78,-72.39,0.0,top
D11,~,D_SMA,109.8947,-75.2363,180.0,top
D12,~,D_SMA,117.3877,-75.3633,0.0,top
D21,~,D_SMA,94.7817,-75.3633,180.0,top
D22,~,D_SMA,102.0207,-75.3633,0.0,top
D31,~,D_SMA,79.3827,-75.3633,180.0,top
D32,~,D_SMA,86.9077,-75.3633,0.0,top
D41,~,D_SMA,63.8897,-75.3633,180.0,top
D42,~,D_SMA,71.4457,-75.3633,0.0,top
D51,~,D_SMA,71.247,-51.308,0.0,top
D52,~,D_SMA,64.04,-51.308,180.0,top
D61,~,D_SMA,86.392,-51.308,0.0,top
D62,~,D_SMA,79.026,-51.308,180.0,top
D71,~,D_SMA,101.727,-51.308,0.0,top
D72,~,D_SMA,94.425,-51.308,180.0,top
D81,~,D_SMA,117.189,-51.308,0.0,top
D82,~,D_SMA,109.823,-51.308,180.0,top
J3,ICSP,PinHeader_1x06_P2.54mm_Vertical,129.77,-88.0,-90.0,top
J11,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",113.3607,-83.0593,0.0,top
J21,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",98.1207,-83.0593,0.0,top
J31,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",82.005,-83.0593,0.0,top
J41,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",66.76,-83.0593,0.0,top
J51,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",66.84,-43.485,180.0,top
J61,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",82.075,-43.485,180.0,top
J62,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",141.5,-58.5,90.0,top
J71,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",98.039,-43.485,180.0,top
J81,~,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",113.284,-43.485,180.0,top
Q11,~,SOT-23,109.9267,-70.7913,-90.0,top
Q12,~,SOT-23,117.4197,-70.7913,-90.0,top
Q21,~,SOT-23,95.8297,-70.6393,-90.0,top
Q22,~,SOT-23,103.5107,-70.4353,-90.0,top
Q31,~,SOT-23,79.1927,-70.5373,-90.0,top
Q32,~,SOT-23,87.1937,-70.6643,-90.0,top
Q41,~,SOT-23,63.8897,-70.4103,-90.0,top
Q42,~,SOT-23,71.8877,-70.4103,-90.0,top
Q51,~,SOT-23,71.567,-56.0855,90.0,top
Q52,~,SOT-23,63.693,-56.0855,90.0,top
