Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D201,LED,LED_NO_SILK,100.918,-109.385,180.0,top
D202,LED,LED_NO_SILK,100.918,-114.935,180.0,top
D203,LED,LED_NO_SILK,100.918,-120.485,180.0,top
D301,LED,LED_NO_SILK,119.44,-98.764,180.0,top
D302,LED,LED_NO_SILK,119.44,-104.314,180.0,top
D303,LED,LED_NO_SILK,119.44,-109.864,180.0,top
D304,LED,02_solderpad_2.54,125.005,-117.17,0.0,bottom
D401,LED,LED_NO_SILK,123.778,-85.127,0.0,top
D402,LED,LED_NO_SILK,123.778,-79.577,0.0,top
D403,LED,LED_NO_SILK,123.778,-74.027,0.0,top
D404,LED,LED_NO_SILK,123.778,-68.477,0.0,top
D501,LED,LED_NO_SILK,145.195,-86.78,180.0,top
D502,LED,LED_NO_SILK,145.195,-81.23,180.0,top
D503,LED,LED_NO_SILK,145.195,-75.68,180.0,top
D504,LED,LED_NO_SILK,145.195,-70.13,180.0,top
D505,LED,02_solderpad_2.54,146.93,-93.63,225.0,bottom
D601,LED,LED_NO_SILK,39.664,-113.593,90.0,top
D602,LED,LED_NO_SILK,39.65,-120.099,90.0,top
D701,LED,LED_NO_SILK,82.25,-125.2,0.0,top
D702,LED,LED_NO_SILK,77.25,-125.2,0.0,top
D801,LED,LED_NO_SILK,58.133,-107.777,180.0,top
D802,LED,LED_NO_SILK,63.533,-113.277,0.0,top
D803,LED,LED_NO_SILK,58.133,-113.277,180.0,top
D804,LED,LED_NO_SILK,57.768,-124.277,0.0,top
D901,LED,LED_NO_SILK,44.765282,-70.361816,0.0,top
D902,LED,LED_NO_SILK,38.765282,-70.361816,0.0,top
D903,LED,LED_NO_SILK,36.500282,-85.861816,0.0,top
D904,LED,LED_NO_SILK,30.500282,-85.861816,0.0,top
D1001,LED,LED_NO_SILK,141.85,-103.69,0.0,top
D1002,LED,LED_NO_SILK,141.85,-124.69,0.0,top
D1003,LED,LED_NO_SILK,144.85,-109.19,0.0,top
D1004,LED,LED_NO_SILK,138.85,-109.19,0.0,top
D1005,LED,02_solderpad_2.54,146.85,-115.92,0.0,bottom
D1101,LED,LED_NO_SILK,62.895,-87.719993,0.0,top
D1102,LED,LED_NO_SILK,62.895,-82.169993,0.0,top
D1103,LED,LED_NO_SILK,62.895,-76.619993,0.0,top
D1104,LED,LED_NO_SILK,62.895,-71.069993,0.0,top
D1105,LED,LED_NO_SILK,53.62,-87.603993,180.0,top
D1201,LED,LED_NO_SILK,83.4,-87.4,180.0,top
D1202,LED,LED_NO_SILK,83.4,-81.85,180.0,top
D1203,LED,LED_NO_SILK,83.4,-76.3,180.0,top
D1204,LED,LED_NO_SILK,83.4,-70.75,180.0,top
D1205,LED,LED_NO_SILK,92.9,-87.4,180.0,top
J201,Conn_01x04,04_solderpad_2.54,106.379,-111.087,0.0,bottom
J301,Conn_01x05,05_solderpad_2.54,124.425,-99.88,0.0,bottom
J401,Conn_01x05,05_solderpad_2.54,118.9,-81.97,180.0,bottom
J501,Conn_01x06,06_solderpad_2.54,139.92,-87.23,180.0,bottom
J601,Conn_01x04,03_solderpad_2.54,45.125,-113.72,0.0,bottom
J701,Conn_01x04,03_solderpad_2.54,83.75,-114.2,0.0,bottom
J801,Conn_01x04,05_solderpad_2.54,65.504,-116.74,0.0,bottom
J901,Conn_01x05,05_solderpad_2.54,48.020462,-76.961064,45.0,bottom
J1001,Conn_01x06,06_solderpad_2.54,134.85,-109.03,0.0,bottom
J1101,Conn_01x06,06_solderpad_2.54,58.12,-84.723993,180.0,bottom
J1201,Conn_01x06,06_solderpad_2.54,88.9,-81.75,180.0,bottom
R201,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.711,-117.564,0.0,bottom
R202,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.711,-115.024,0.0,bottom
R203,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.711,-112.484,0.0,bottom
R301,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.425,-111.04,0.0,bottom
R302,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.425,-107.94,0.0,bottom
R303,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.425,-104.99,0.0,bottom
R304,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.425,-102.04,0.0,bottom
R401,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.4,-68.85,270.0,bottom
R402,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.4,-73.85,270.0,bottom
R403,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.4,-78.85,270.0,bottom
R404,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.4,-84.85,270.0,bottom
R501,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.43,-90.63,180.0,bottom
R502,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.93,-70.13,270.0,bottom
R503,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.93,-75.63,270.0,bottom
R504,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.43,-81.13,270.0,bottom
R505,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.43,-86.63,270.0,bottom
R601,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.711,-118.337,0.0,bottom
R602,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.711,-116.133,0.0,bottom
R701,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.559,-119.152936,90.0,bottom
R702,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.79,-119.126,90.0,bottom
R801,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.678,-118.518,90.0,bottom
R802,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.233,-118.534,270.0,bottom
R803,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.519,-118.534,270.0,bottom
R804,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,63.091,-109.247,180.0,bottom
R901,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,36.386424,-80.654888,45.0,bottom
