Comment,Designator,Footprint,LCSC
D,"D601,D602",D_DO-34_SOD68_P7.62mm_Horizontal,C14996
LM311,U601,DIP-8_W7.62mm,C434495
RJ12,"J601,J602",RJ12_Amphenol_54601,C77859
10k,R603,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
BC547,Q601,TO-92_Inline_Wide,
47k,R602,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
1k,R606,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
220k,R601,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R605,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
150k,R604,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
Conn_01x06_Male,J603,PinHeader_1x06_P2.54mm_Vertical,
