Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100nF,C_0402_1005Metric,194.75925,-60.508,90.0,top
C301,100nF,C_0402_1005Metric,194.084,-43.815,0.0,top
C302,100nF,C_0402_1005Metric,182.88,-43.815,0.0,top
C401,100nF,C_0402_1005Metric,194.75925,-67.874,90.0,top
C501,100nF,C_0402_1005Metric,194.75925,-75.24,90.0,top
C601,100nF,C_0402_1005Metric,194.75925,-82.606,90.0,top
C701,100nF,C_0402_1005Metric,194.75925,-90.099,90.0,top
C801,100nF,C_0402_1005Metric,194.75925,-97.465,90.0,top
C901,100nF,C_0402_1005Metric,194.75925,-104.831,90.0,top
C1001,100nF,C_0402_1005Metric,194.75925,-112.197,90.0,top
C1101,100nF,C_0402_1005Metric,205.2225,-87.517,-90.0,top
C1201,100nF,C_0402_1005Metric,219.71,-52.705,0.0,top
C1202,100nF,C_0402_1005Metric,207.038,-52.705,180.0,top
C1301,100nF,C_0402_1005Metric,205.2385,-72.769,-90.0,top
C1401,100nF,C_0402_1005Metric,205.2385,-80.135,-90.0,top
C1501,100nF,C_0402_1005Metric,205.3335,-65.435,-90.0,top
C1601,100nF,C_0402_1005Metric,205.3335,-58.069,-90.0,top
C1701,100nF,C_0402_1005Metric,205.2065,-102.36,-90.0,top
C1801,100nF,C_0402_1005Metric,205.2385,-94.867,-90.0,top
C1901,100nF,C_0402_1005Metric,205.2065,-109.726,-90.0,top
D201,SS53,D_SMA,179.90025,-61.171,0.0,top
D202,SS53,D_SMA,172.69325,-61.171,0.0,top
D203,SS53,D_SMA,179.90025,-57.488,180.0,top
D204,SS53,D_SMA,172.72525,-57.488,180.0,top
D401,SS53,D_SMA,179.90025,-68.537,0.0,top
D402,SS53,D_SMA,172.69325,-68.537,0.0,top
D403,SS53,D_SMA,179.90025,-64.854,180.0,top
D404,SS53,D_SMA,172.72525,-64.854,180.0,top
D501,SS53,D_SMA,179.90025,-75.903,0.0,top
D502,SS53,D_SMA,172.69325,-75.903,0.0,top
D503,SS53,D_SMA,179.90025,-72.22,180.0,top
D504,SS53,D_SMA,172.72525,-72.22,180.0,top
D601,SS53,D_SMA,179.90025,-83.269,0.0,top
D602,SS53,D_SMA,172.69325,-83.269,0.0,top
D603,SS53,D_SMA,179.90025,-79.586,180.0,top
D604,SS53,D_SMA,172.72525,-79.586,180.0,top
D701,SS53,D_SMA,179.90025,-90.762,0.0,top
D702,SS53,D_SMA,172.69325,-90.762,0.0,top
D703,SS53,D_SMA,179.90025,-87.079,180.0,top
D704,SS53,D_SMA,172.72525,-87.079,180.0,top
D801,SS53,D_SMA,179.90025,-98.128,0.0,top
D802,SS53,D_SMA,172.69325,-98.128,0.0,top
D803,SS53,D_SMA,179.90025,-94.445,180.0,top
D804,SS53,D_SMA,172.72525,-94.445,180.0,top
D901,SS53,D_SMA,179.90025,-105.494,0.0,top
D902,SS53,D_SMA,172.69325,-105.494,0.0,top
D903,SS53,D_SMA,179.90025,-101.811,180.0,top
D904,SS53,D_SMA,172.72525,-101.811,180.0,top
D1001,SS53,D_SMA,179.90025,-112.86,0.0,top
D1002,SS53,D_SMA,172.69325,-112.86,0.0,top
D1003,SS53,D_SMA,179.90025,-109.177,180.0,top
D1004,SS53,D_SMA,172.72525,-109.177,180.0,top
D1101,SS53,D_SMA,220.0815,-86.854,180.0,top
D1102,SS53,D_SMA,227.2885,-86.854,180.0,top
D1103,SS53,D_SMA,220.0815,-90.537,0.0,top
D1104,SS53,D_SMA,227.2565,-90.537,0.0,top
D1301,SS53,D_SMA,220.0975,-72.106,180.0,top
