Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1000uF,CP_Elec_8x10.5,118.872,-117.348,180.0,top
C201,12pF,C_0603_1608Metric,97.293325,-116.619732,-90.0,top
C202,100nF,C_0402_1005Metric,94.870735,-119.626143,-45.0,top
C203,12pF,C_0603_1608Metric,94.531324,-113.698732,180.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.363,-118.999,90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.251,-119.0255,90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.965,-118.2635,90.0,top
C901,22uF,C_0603_1608Metric,144.1265,-116.84,-90.0,top
C902,100nF,C_0402_1005Metric,143.6185,-114.201,90.0,top
C903,22nF,C_0402_1005Metric,144.7615,-114.201,90.0,top
C904,22uF,C_0603_1608Metric,138.5235,-119.634,90.0,top
C905,22uF,C_0603_1608Metric,140.1895,-119.634,90.0,top
C906,100nF,C_0402_1005Metric,137.1415,-119.632,90.0,top
D101,MB10S,TO-269AA,97.0,-133.5,-90.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.686,-146.431,90.0,top
D701,1N4148WS,D_SOD-323,135.636,-146.939,-90.0,top
D1001,1N4148WS,D_SOD-323,113.538,-125.222,0.0,top
D1002,1N4148WS,D_SOD-323,102.743,-125.219,0.0,top
D1101,1N4148WS,D_SOD-323,135.509,-125.225,0.0,top
D1102,1N4148WS,D_SOD-323,124.46,-125.225,0.0,top
J701,Servo,PinHeader_2x03_P2.54mm_Vertical,130.424,-144.414,180.0,top
K1001,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,116.586,-131.699,270.0,top
K1002,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,105.791,-131.693,270.0,top
K1101,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,138.557,-131.702,270.0,top
K1102,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,127.508,-131.699,270.0,top
L901,L,L_Bourns-SRU8028_8.0x8.0mm,150.0955,-116.078,-90.0,top
Q1001,AO3400A,SOT-23,119.507,-124.079,90.0,top
Q1002,AO3400A,SOT-23,108.712,-124.203,90.0,top
Q1101,AO3400A,SOT-23,141.478,-124.082,90.0,top
Q1102,AO3400A,SOT-23,130.429,-124.209,90.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.677,-146.3205,90.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,107.569,-113.538,180.0,top
R701,1k5,R_0603_smalltext,135.636,-143.256,-90.0,top
R702,10k,R_0603_smalltext,150.135,-142.9325,-90.0,top
R703,10k,R_0603_smalltext,150.135,-146.6155,90.0,top
R704,10k,R_0603_smalltext,128.4205,-139.192,180.0,top
R705,10k,R_0603_smalltext,131.953,-139.192,0.0,top
R901,220k,R_0603_1608Metric,132.3155,-118.618,90.0,top
R902,20k,R_0603_1608Metric,133.4585,-115.443,90.0,top
R903,150k,R_0603_1608Metric,133.9665,-118.618,-90.0,top
R1001,22R,R_0603_smalltext,116.459,-124.1825,-90.0,top
R1002,22R,R_0603_smalltext,105.664,-124.203,-90.0,top
R1003,10k,R_0603_smalltext,113.665,-123.317,0.0,top
R1004,10k,R_0603_smalltext,102.743,-123.187,0.0,top
R1101,22R,R_0603_smalltext,138.43,-124.1855,-90.0,top
R1102,22R,R_0603_smalltext,127.381,-124.209,-90.0,top
R1103,10k,R_0603_smalltext,135.636,-123.32,0.0,top
R1104,10k,R_0603_smalltext,124.46,-123.193,0.0,top
SW101,SW_Push,tactile_SMD_6mm,147.447,-131.5,-90.0,top
SW102,SW_Push,tactile_SMD_6mm,161.544,-131.572,-90.0,top
SW103,SW_Push,tactile_SMD_6mm,154.432,-137.16,-90.0,top
SW104,SW_Push,tactile_SMD_6mm,154.432,-126.746,-90.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,91.061324,-124.249731,135.0,top
U301,L78L05_SOT89,SOT-89-3,106.91,-117.8375,270.0,top
U701,6N137,SOP-8_6.62x9.15mm_P2.54mm,142.959,-143.5975,270.0,top
U901,MT2499A,TI_SO-PowerPAD-8,138.887,-115.189,180.0,top
Y201,Crystal_GND2,crystal_arduino,94.372324,-116.526732,90.0,top
