Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,227.64199,-126.654583,90.0,top
C202,100nF,C_0402_1005Metric,230.064579,-123.648172,135.0,top
C203,12pF,C_0603_1608Metric,230.40399,-129.575583,0.0,top
C301,470nF,C_0805_2012Metric,229.616,-105.4365,-90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,236.855,-105.41,-90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,239.141,-106.172,-90.0,top
C901,22uF,C_0603_1608Metric,213.0255,-123.952,-90.0,top
C902,100nF,C_0402_1005Metric,212.5175,-121.313,90.0,top
C903,22nF,C_0402_1005Metric,213.6605,-121.313,90.0,top
C904,22uF,C_0603_1608Metric,207.4225,-126.746,90.0,top
C905,22uF,C_0603_1608Metric,209.0885,-126.746,90.0,top
C906,100nF,C_0402_1005Metric,206.0405,-126.744,90.0,top
C1101,1000uF,CP_Elec_8x10.5,192.405,-121.903,90.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.379,-110.236,180.0,top
D701,1N4148WS,D_SOD-323,190.5,-134.366,0.0,top
D702,1N4148WS,D_SOD-323,200.914,-134.366,0.0,top
D801,1N4148WS,D_SOD-323,211.582,-134.366,0.0,top
D802,1N4148WS,D_SOD-323,221.869,-134.366,0.0,top
D901,1N4148WS,D_SOD-323,232.537,-134.239,0.0,top
D902,1N4148WS,D_SOD-323,242.824,-134.239,0.0,top
D1001,1N4148WS,D_SOD-323,225.937,-109.243,90.0,top
D1101,SS53,D_SMA,185.547,-116.108,90.0,top
D1102,SS53,D_SMA,181.737,-116.11,-90.0,top
D1103,SS53,D_SMA,185.527,-123.474,-90.0,top
D1104,SS53,D_SMA,181.737,-123.569,90.0,top
J101,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",198.0,-110.0,180.0,top
J103,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",202.443,-152.984,0.0,top
J104,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",217.683,-152.984,0.0,top
J701,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,190.124,-153.274,0.0,top
J801,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,230.002,-153.274,0.0,top
J901,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,237.495,-153.274,0.0,top
K701,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,187.5,-141.0,270.0,top
K702,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,197.85,-141.0,270.0,top
K801,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,208.473646,-141.0,270.0,top
K802,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,218.823646,-141.0,270.0,top
K901,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,229.473646,-140.899,270.0,top
K902,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,239.823646,-140.899,270.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,219.329,-123.317,-90.0,top
Q701,NPN_TOR,SOT-23,186.6415,-133.604,180.0,top
Q702,NPN_TOR,SOT-23,196.977,-133.604,180.0,top
Q801,NPN_TOR,SOT-23,207.645,-133.604,180.0,top
Q802,NPN_TOR,SOT-23,217.932,-133.604,180.0,top
Q901,NPN_TOR,SOT-23,228.6485,-133.416,180.0,top
Q902,NPN_TOR,SOT-23,238.887,-133.477,180.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,183.2685,-108.245,180.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,242.316,-130.175,90.0,top
R701,10k,R_0603_smalltext,188.087,-147.574,0.0,top
R702,10k,R_0603_smalltext,191.6665,-147.574,180.0,top
R703,1k5,R_0603_smalltext,183.769,-133.604,90.0,top
R704,1k5,R_0603_smalltext,194.056,-133.604,90.0,top
R801,10k,R_0603_smalltext,228.139,-147.828,0.0,top
R802,10k,R_0603_smalltext,231.7985,-147.828,180.0,top
R803,1k5,R_0603_smalltext,204.724,-133.604,90.0,top
R804,1k5,R_0603_smalltext,214.884,-133.604,90.0,top
R901,220k,R_0603_1608Metric,201.2145,-125.73,90.0,top
R902,20k,R_0603_1608Metric,202.3575,-122.555,90.0,top
R903,150k,R_0603_1608Metric,202.8655,-125.73,-90.0,top
R904,10k,R_0603_smalltext,235.8625,-147.828,0.0,top
R905,10k,R_0603_smalltext,239.5455,-147.828,180.0,top
R906,1k5,R_0603_smalltext,225.6005,-133.416,90.0,top
R907,1k5,R_0603_smalltext,235.966,-133.477,90.0,top
R1001,1k,R_0603_smalltext,225.81,-112.926,90.0,top
R1002,10k,R_0603_smalltext,211.332,-112.672,90.0,top
R1003,10k,R_0603_smalltext,211.332,-108.862,90.0,top
SW601,SW_Push,tactile_SMD_6mm,176.403,-147.5,90.0,top
SW602,SW_Push,tactile_SMD_6mm,176.403,-137.0,90.0,top
SW603,SW_Push,tactile_SMD_6mm,176.403,-126.5,90.0,top
SW604,SW_Push,tactile_SMD_6mm,176.5,-116.0,90.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,233.87399,-119.024583,315.0,top
U301,L78L05_SOT89,SOT-89-3,233.196,-106.598,90.0,top
U901,MT2499A,TI_SO-PowerPAD-8,207.786,-122.301,180.0,top
U1001,6N137,SOP-8_6.62x9.15mm_P2.54mm,218.487,-110.49,90.0,top
Y201,Crystal_GND2,crystal_arduino,230.56299,-126.747583,-90.0,top
