Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.229,-62.214,90.0,top
C101,100nF,C_0402_1005Metric,129.278,-50.911,135.0,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.642,-64.754,0.0,top
C3,100nF,C_0402_1005Metric,120.261,-59.039,135.0,top
C401,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,108.831,-60.69,0.0,top
C402,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.292,-51.8,180.0,top
C403,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,109.72,-51.419,0.0,top
C501,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.732,-55.753,-90.0,top
D1,D,D_SOD-323,101.129,-63.381,0.0,top
D11,~,D_SMA,143.849,-71.6155,180.0,top
D12,~,D_SMA,151.151,-71.6155,0.0,top
D21,~,D_SMA,128.849,-71.6155,180.0,top
D22,~,D_SMA,136.151,-71.6155,0.0,top
D31,~,D_SMA,113.849,-71.6155,180.0,top
D32,~,D_SMA,121.151,-71.6155,0.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.932,-65.024,180.0,top
D41,~,D_SMA,98.849,-71.6155,180.0,top
D42,~,D_SMA,106.151,-71.6155,0.0,top
D501,SS53,D_SMA,144.4835,-52.5,-90.0,top
D502,SS53,D_SMA,144.4835,-60.0,90.0,top
D503,SS53,D_SMA,147.9835,-60.0,-90.0,top
D504,SS53,D_SMA,147.9835,-52.5,90.0,top
D51,~,D_SMA,106.151,-41.9015,0.0,top
D52,~,D_SMA,98.849,-41.9015,180.0,top
D61,~,D_SMA,121.151,-41.9015,0.0,top
D62,~,D_SMA,113.849,-41.9015,180.0,top
D71,~,D_SMA,136.151,-41.9015,0.0,top
D72,~,D_SMA,128.849,-41.9015,180.0,top
D81,~,D_SMA,151.151,-41.9015,0.0,top
D82,~,D_SMA,143.849,-41.9015,180.0,top
J11,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",147.5,-75.8065,0.0,top
J21,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",132.5,-75.8065,0.0,top
J31,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",117.5,-75.8065,0.0,top
J41,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",102.5,-75.8065,0.0,top
J51,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",102.5,-37.7105,180.0,top
J61,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",117.5,-37.7105,180.0,top
J62,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",153.4045,-56.46,90.0,top
J71,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",132.5,-37.7105,180.0,top
J81,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",147.5,-37.7105,180.0,top
Q11,~,SOT-23,142.293,-67.6785,180.0,top
Q12,~,SOT-23,152.707,-67.6785,180.0,top
Q21,~,SOT-23,127.293,-67.6785,180.0,top
Q22,~,SOT-23,137.707,-67.6785,180.0,top
Q31,~,SOT-23,112.293,-67.6785,180.0,top
Q32,~,SOT-23,122.707,-67.6785,180.0,top
Q41,~,SOT-23,97.293,-67.6785,180.0,top
Q42,~,SOT-23,107.707,-67.6785,180.0,top
Q51,~,SOT-23,107.707,-45.8385,0.0,top
Q52,~,SOT-23,97.293,-45.8385,0.0,top
Q61,~,SOT-23,122.707,-45.8385,0.0,top
Q62,~,SOT-23,112.293,-45.8385,0.0,top
Q71,~,SOT-23,137.707,-45.8385,0.0,top
Q72,~,SOT-23,127.293,-45.8385,0.0,top
Q81,~,SOT-23,152.707,-45.8385,0.0,top
Q82,~,SOT-23,142.293,-45.8385,0.0,top
R101,0R1,R_1206_3216Metric,140.708,-51.546,-90.0,top
R102,0R1,R_1206_3216Metric,138.422,-51.546,-90.0,top
R103,0R1,R_1206_3216Metric,138.422,-61.8945,90.0,top
R104,0R1,R_1206_3216Metric,140.708,-61.8945,90.0,top
R11,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.738,-67.6785,-90.0,top
R12,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.389,-67.6785,-90.0,top
R13,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.087,-67.6785,-90.0,top
R14,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,150.04,-67.6785,-90.0,top
R2,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.361,-48.641,90.0,top
R21,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.738,-67.6785,-90.0,top
R22,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.389,-67.6785,-90.0,top
R23,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.087,-67.6785,-90.0,top
R24,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.04,-67.6785,-90.0,top
R3,10k,R_0603_smalltext,97.192,-49.411,0.0,top
R31,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.738,-67.6785,-90.0,top
R32,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.389,-67.6785,-90.0,top
R33,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.087,-67.6785,-90.0,top
R34,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.04,-67.6785,-90.0,top
R4,10k,R_0603_smalltext,100.748,-49.411,0.0,top
R41,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.738,-67.6785,-90.0,top
R42,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.389,-67.6785,-90.0,top
R43,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.087,-67.6785,-90.0,top
R44,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105.04,-67.6785,-90.0,top
R5,1k5,R_0603_smalltext,97.573,-63.381,0.0,top
R51,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.262,-45.8385,90.0,top
R52,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.611,-45.8385,90.0,top
R53,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.913,-45.8385,90.0,top
R54,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.96,-45.8385,90.0,top
R6,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,90.5,-67.183,0.0,top
R61,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.262,-45.8385,90.0,top
R62,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.611,-45.8385,90.0,top
R63,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,119.913,-45.8385,90.0,top
R64,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.96,-45.8385,90.0,top
R71,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.262,-45.8385,90.0,top
R72,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.611,-45.8385,90.0,top
R73,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.913,-45.8385,90.0,top
R74,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.96,-45.8385,90.0,top
R81,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.262,-45.8385,90.0,top
R82,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.611,-45.8385,90.0,top
R83,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.913,-45.8385,90.0,top
R84,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.96,-45.8385,90.0,top
SW1,SW_SPST,SW_SPST_SKQG_WithStem,91.948,-72.263,-90.0,top
U1,ATmega328-A,TQFP-32_7x7mm_P0.8mm,124.452,-54.721,315.0,top
U3,6N137,SOP-8_6.62x9.15mm_P2.54mm,100.068,-56.245,0.0,top
U401,AMS1117-5.0,SOT-223-3_TabPin2,111.625,-56.372,180.0,top
Y1,Crystal_GND2,crystal_arduino,120.642,-62.087,-90.0,top
