Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A201,Arduino_UNO_R3,Arduino_UNO_R3,67.564,-100.332,270.0,bottom
J301,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",34.925,-115.951,-90.0,top
J302,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",34.925,-100.711,-90.0,top
J303,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",34.925,-85.471,-90.0,top
J401,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",100.203,-85.471,90.0,top
J402,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",100.203,-100.711,90.0,top
J403,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",100.203,-115.951,90.0,top
J501,RJ45_IN,RJ45_Amphenol_54602-x08_Horizontal,94.0715,-68.556,180.0,top
J502,RJ45_OUT,RJ45_Amphenol_54602-x08_Horizontal,61.9405,-68.556,180.0,top
R602,2k2,R_0603_smalltext,65.422753,-116.60432,-140.0,top
R702,2k2,R_0603_smalltext,65.422753,-111.52432,-140.0,top
R802,2k2,R_0603_smalltext,65.422753,-106.44432,-140.0,top
R902,2k2,R_0603_smalltext,65.422753,-101.36432,-140.0,top
R1002,2k2,R_0603_smalltext,65.422753,-96.28432,-140.0,top
R1102,2k2,R_0603_smalltext,65.422753,-91.20432,-140.0,top
R1202,2k2,R_0603_smalltext,65.422753,-86.12432,-140.0,top
R1302,2k2,R_0603_smalltext,65.422753,-81.04432,-140.0,top
R1402,2k2,R_0603_smalltext,70.218247,-81.01268,40.0,top
R1502,2k2,R_0603_smalltext,70.218247,-86.09268,40.0,top
R1602,2k2,R_0603_smalltext,70.218247,-91.17268,40.0,top
R1702,2k2,R_0603_smalltext,70.218247,-96.25268,40.0,top
R1802,2k2,R_0603_smalltext,70.218247,-101.33268,40.0,top
R1902,2k2,R_0603_smalltext,70.218247,-106.41268,40.0,top
R2002,2k2,R_0603_smalltext,70.218247,-111.49268,40.0,top
R2102,2k2,R_0603_smalltext,70.218247,-116.57268,40.0,top
U601,EL814S,SMDIP-4_W9.53mm,53.571,-116.586,180.0,top
U701,EL814S,SMDIP-4_W9.53mm,53.571,-111.506,180.0,top
U801,EL814S,SMDIP-4_W9.53mm,53.571,-106.426,180.0,top
U901,EL814S,SMDIP-4_W9.53mm,53.571,-101.346,180.0,top
U1001,EL814S,SMDIP-4_W9.53mm,53.571,-96.266,180.0,top
U1101,EL814S,SMDIP-4_W9.53mm,53.571,-91.186,180.0,top
U1201,EL814S,SMDIP-4_W9.53mm,53.571,-86.106,180.0,top
U1301,EL814S,SMDIP-4_W9.53mm,53.571,-81.026,180.0,top
U1401,EL814S,SMDIP-4_W9.53mm,82.07,-81.031,0.0,top
U1501,EL814S,SMDIP-4_W9.53mm,82.07,-86.111,0.0,top
U1601,EL814S,SMDIP-4_W9.53mm,82.07,-91.191,0.0,top
U1701,EL814S,SMDIP-4_W9.53mm,82.07,-96.271,0.0,top
U1801,EL814S,SMDIP-4_W9.53mm,82.07,-101.351,0.0,top
U1901,EL814S,SMDIP-4_W9.53mm,82.07,-106.431,0.0,top
U2001,EL814S,SMDIP-4_W9.53mm,82.07,-111.511,0.0,top
U2101,EL814S,SMDIP-4_W9.53mm,82.07,-116.591,0.0,top
