Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D201,SS53,D_SMA,176.276,-139.827,180.0,top
D202,SS53,D_SMA,169.037,-139.827,180.0,top
D203,SS53,D_SMA,176.276,-136.144,0.0,top
D204,SS53,D_SMA,169.044,-136.171,0.0,top
D301,SS53,D_SMA,176.276,-132.461,180.0,top
D302,SS53,D_SMA,169.037,-132.461,180.0,top
D303,SS53,D_SMA,176.276,-128.778,0.0,top
D304,SS53,D_SMA,169.044,-128.805,0.0,top
D401,SS53,D_SMA,176.276,-125.095,180.0,top
D402,SS53,D_SMA,169.037,-125.095,180.0,top
D403,SS53,D_SMA,176.276,-121.412,0.0,top
D404,SS53,D_SMA,169.044,-121.439,0.0,top
D501,SS53,D_SMA,176.276,-117.729,180.0,top
D502,SS53,D_SMA,169.037,-117.729,180.0,top
D503,SS53,D_SMA,176.276,-114.046,0.0,top
D504,SS53,D_SMA,169.044,-114.073,0.0,top
J101,Screw_Terminal_01x05,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",152.5,-128.651,-90.0,top
J102,Conn_01x05_Socket,PinSocket_1x05_P2.54mm_Horizontal,199.263,-135.001,180.0,top
R201,47R,R_0603_smalltext,181.864,-135.128,0.0,top
R301,47R,R_0603_smalltext,181.864,-127.762,0.0,top
R401,47R,R_0603_smalltext,181.864,-120.396,0.0,top
R501,47R,R_0603_smalltext,181.864,-113.03,0.0,top
U201,EL814,SMDIP-4_W9.53mm,186.309,-138.811,0.0,top
U301,EL814,SMDIP-4_W9.53mm,186.309,-131.445,0.0,top
U401,EL814,SMDIP-4_W9.53mm,186.309,-124.079,0.0,top
U501,EL814,SMDIP-4_W9.53mm,186.309,-116.713,0.0,top
