Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A101,Arduino_UNO_R3,UNO_SHIELD_NEUTRAL,125.224,-84.809,0.0,top
C201,~,C_Disc_D3.0mm_W1.6mm_P2.50mm,142.232,-116.188,0.0,top
C301,100nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,132.239,-116.315,0.0,top
C302,100nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,122.039,-116.315,0.0,top
D401,D_Bridge_+-AA,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,134.863,-87.095,-90.0,top
D501,D_Bridge_+-AA,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,144.007,-87.095,-90.0,top
D601,D_Bridge_+-AA,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,153.278,-87.095,-90.0,top
D701,D_Bridge_+-AA,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,162.549,-87.095,-90.0,top
J101,Screw_Terminal_01x05,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",170.386,-126.514,0.0,top
J102,Screw_Terminal_01x05,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",190.706,-84.404,180.0,top
J201,RJ12,RJ12,176.776,-116.379,90.0,top
J202,RJ12,RJ12,176.776,-101.379,90.0,top
J402,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,171.706,-108.685,0.0,top
J501,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,169.166,-108.7,0.0,top
J601,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,169.166,-95.096,0.0,top
J701,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,171.706,-95.096,0.0,top
R101,4k7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,165.483,-120.75,180.0,top
R102,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,157.863,-122.909,0.0,top
R103,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,165.483,-125.068,180.0,top
R104,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,157.863,-127.227,0.0,top
R201,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,165.483,-116.178,180.0,top
R202,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,165.483,-113.892,180.0,top
R203,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,165.483,-111.606,180.0,top
R401,33R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,130.177,-97.89,-90.0,top
R404,120R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,157.863,-118.464,0.0,top
R501,33R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,138.94,-97.89,-90.0,top
R601,33R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,148.079,-97.88,-90.0,top
R701,33R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,156.974,-97.89,-90.0,top
U201,MAX485E,DIP-8_W7.62mm,142.369,-126.338,90.0,top
U301,24LC256,DIP-8_W7.62mm,132.209,-126.338,90.0,top
U302,24LC256,DIP-8_W7.62mm,122.049,-126.338,90.0,top
U401,EL814,DIP-4_W7.62mm,133.22,-105.5,90.0,top
U501,EL814,DIP-4_W7.62mm,141.983,-105.5,90.0,top
U601,EL814,DIP-4_W7.62mm,151.0,-105.5,90.0,top
U701,EL814,DIP-4_W7.62mm,159.89,-105.5,90.0,top
