Comment,Designator,Footprint,LCSC
6N137,U701,DIP-8_W7.62mm,C110020
D,"D601,D602",D_DO-34_SOD68_P7.62mm_Horizontal,C14996
10k,"R701,R702",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C17414
1k,R703,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C17513
LM311,U601,DIP-8_W7.62mm,C434495
RJ12,"J601,J602",RJ12_Amphenol_54601,C77859
LDR,J1101,TerminalBlock_MetzConnect_Type073_RT02603HBLU_1x03_P5.08mm_Horizontal,
Conn_01x06_Male,J403,PinHeader_1x06_P2.54mm_Vertical,
tracks,J1201,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
ter,J1202,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
ter,J1103,TerminalBlock_MetzConnect_Type073_RT02603HBLU_1x03_P5.08mm_Horizontal,
Conn_01x03_Male,J701,PinHeader_1x03_P2.54mm_Vertical,
47k,R602,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
RJ12,J401,RJ12_Amphenol_54601,
10k,R401,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10k,R603,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
EL814,U1201,DIP-4_W7.62mm,
10k,R1101,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
100R,R1201,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
BC547,Q601,TO-92_Inline_Wide,
D,D701,D_DO-34_SOD68_P7.62mm_Horizontal,
RJ12,J402,RJ12_Amphenol_54601,
150k,R604,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
120R,R404,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10k,R1102,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
D,D1201,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
10k,R403,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
MAX485E,U401,DIP-8_W7.62mm,
Conn_01x06_Male,J603,PinHeader_1x06_P2.54mm_Vertical,
Screw_Terminal_01x02,J702,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
LM393,U1101,DIP-8_W7.62mm,
10k,R402,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R605,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
ter,J1203,PinHeader_1x03_P2.54mm_Horizontal,
10k,R1202,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
220k,R601,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
ter,J1102,PinHeader_1x03_P2.54mm_Horizontal,
100n,C401,C_Disc_D3.0mm_W1.6mm_P2.50mm,
1k,R606,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
