Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_1206_3216Metric,88.434,-78.179,-90.0,top
D1,LED,LED_D3.0mm,87.319,-82.976388,0.0,bottom
D2,LED,LED_D3.0mm,87.324,-73.832388,0.0,bottom
D3,LED,LED_D3.0mm,110.049,-82.931,0.0,bottom
D4,D,D_SOD-123F,101.6,-76.073,180.0,top
D5,D,D_SOD-123F,101.727,-80.772,180.0,top
D6,D,D_SOD-123F,86.03,-78.174388,-90.0,top
D7,LED,LED_D3.0mm,109.982,-73.914,0.0,bottom
J1,Screw_Terminal_01x05,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",99.33,-90.967388,0.0,top
Q1,BC847,SOT-23,91.98,-80.750388,0.0,top
Q2,BC847,SOT-23,92.0175,-76.850388,0.0,top
R1,330R,R_0805_handsolder-smalltext,96.324,-80.649388,180.0,top
R2,6k8,R_0805_handsolder-smalltext,92.08,-83.750388,0.0,top
R3,6k8,R_0805_handsolder-smalltext,92.142,-73.966388,180.0,top
R4,330R,R_0805_handsolder-smalltext,96.324,-76.149388,180.0,top
SW1,SW_DPDT_x2,MTS_DPDT,98.7,-78.5,270.0,bottom
