Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,2000uF,CP_Radial_D8.0mm_P2.50mm,73.914,-133.604,180.0,top
C201,12pF,C_0603_1608Metric,54.325,-108.047,90.0,top
C202,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,54.76212,-104.41912,-45.0,top
C203,12pF,C_0603_1608Metric,56.865,-110.968,0.0,top
C301,100nF,C_0603_1608Metric,60.089,-85.48,180.0,top
C401,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,66.2625,-85.352,180.0,top
C402,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,66.162,-94.623,180.0,top
C403,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,65.335,-92.591,180.0,top
D101,MB6S,TO-269AA,82.042,-129.413,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.818,-101.092,90.0,top
D501,MB6S,TO-269AA,56.533,-117.865,180.0,top
D601,MB6S,TO-269AA,56.533,-123.707,180.0,top
D701,~,D_SMA,76.6475,-102.94,90.0,top
D702,~,D_SMA,76.6475,-110.465,-90.0,top
D801,~,D_SMA,76.6475,-88.144,90.0,top
D802,~,D_SMA,76.6475,-95.669,-90.0,top
J101,sensor,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",58.697,-132.673,0.0,top
J102,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",46.805,-105.8,-90.0,top
J103,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",84.785,-105.537,90.0,top
J301,RJ12,RJ12,72.47,-74.408,180.0,top
J302,RJ12,RJ12,57.0,-74.408,180.0,top
Q701,~,SOT-23,72.5835,-104.909,0.0,top
Q702,~,SOT-23,72.583501,-108.719,0.0,top
Q801,~,SOT-23,72.5835,-90.113,0.0,top
Q802,~,SOT-23,72.5835,-93.923,0.0,top
R101,100R,R_0603_smalltext,76.3035,-128.143,0.0,top
R102,1k,R_0603_smalltext,58.039,-113.538,0.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.818,-97.0045,-90.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,47.498,-81.5555,-90.0,top
R301,10k,R_0402_1005Metric,53.465,-89.154,0.0,top
R302,10k,R_0402_1005Metric,53.467,-88.138,0.0,top
R303,10k,R_0402_1005Metric,53.467,-86.995,0.0,top
R501,47k,R_0603_smalltext,61.513,-118.119,90.0,top
R601,47k,R_0603_smalltext,61.513,-123.961,90.0,top
R701,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4565,-102.115001,0.0,top
R702,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.329501,-111.513,0.0,top
R703,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4565,-100.495,0.0,top
R704,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.306,-113.195,0.0,top
R801,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4565,-87.319,180.0,top
R802,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.3295,-96.717,0.0,top
R803,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4565,-85.636,180.0,top
R804,~,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.306,-98.336,0.0,top
U201,HEADER_3x2,PinSocket_2x03_P1.27mm_Vertical,42.428,-76.449,180.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,59.962,-100.212,45.0,top
U301,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,58.438,-89.163,0.0,top
U401,L78L05_SOT89,SOT-89-3,65.042,-88.782,180.0,top
U501,EL814,SSO-4_6.7x5.1mm_P2.54mm_Clearance8mm,68.371,-117.865,0.0,top
U601,EL814,SSO-4_6.7x5.1mm_P2.54mm_Clearance8mm,68.371,-123.707,0.0,top
Y201,Crystal_GND2,crystal_arduino,57.073,-108.306,-90.0,top
