Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100nF,C_0402_1005Metric,115.57,-70.993,0.0,top
C103,100nF,C_0402_1005Metric,118.773,-72.009,180.0,top
C104,100nF,C_0402_1005Metric,108.458,-67.056,0.0,top
C201,470nF,C_0805_2012Metric,111.458,-75.969,90.0,top
C202,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.346,-75.969,90.0,top
C203,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.838,-76.327,180.0,top
D106,D,D_SMA,131.444,-68.199,0.0,top
D107,D,D_SMA,138.937,-68.199,0.0,top
D108,D,D_SMA,129.412,-74.041,-90.0,top
D109,D,D_SMA,133.222,-74.041,90.0,top
D110,1N4148WS,D_SOD-323,113.744,-76.03,90.0,top
D111,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.14,-67.183,180.0,top
J103,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",148.5,-72.0,90.0,top
J104,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",91.5,-71.882,-90.0,top
J105,Conn_01x03,PinHeader_1x03_P1.27mm_Vertical,112.263,-67.818,-90.0,top
Q102,4A_DARLINGTON,TO-252-2,123.952,-72.766,-90.0,top
R106,0R1,R_1206_3216Metric,117.602,-76.327,180.0,top
R107,0R1,R_1206_3216Metric,117.602,-73.8435,0.0,top
R108,10k,R_0603_smalltext,118.364,-70.612,180.0,top
R109,10k,R_0603_smalltext,112.522,-69.85,180.0,top
R110,470R,R_0603_smalltext,104.902,-70.358,-90.0,top
RV101,R_Potentiometer,Potentiometer_Bourns_TC33X_Vertical,117.729,-67.945,0.0,top
U101,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,108.331,-69.903,180.0,top
U201,L78L05_SOT89,SOT-89-3,107.696,-74.757,270.0,top
