Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,61.75,-102.2,-90.0,top
D2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,63.75,-102.2,-90.0,top
D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,65.9,-102.2,-90.0,top
D4,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,83.9,-102.2,-90.0,top
D5,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,86.05,-102.2,-90.0,top
D6,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,88.05,-102.2,-90.0,top
R1,4k7,R_0603_smalltext,64.2855,-98.806,0.0,bottom
R2,3k3,R_0603_smalltext,68.3495,-99.441,0.0,bottom
R3,10k,R_0603_smalltext,69.3655,-101.092,0.0,bottom
R4,10k,R_0603_smalltext,80.391,-101.092,180.0,bottom
R5,3k3,R_0603_smalltext,81.534,-99.441,180.0,bottom
R6,4k7,R_0603_smalltext,86.106,-98.806,180.0,bottom
