Comment,Designator,Footprint,LCSC
100nF,U8,C_0603_1608Metric,C14663
100R,R4,R_0805_handsolder-smalltext,C17408
220R,R1,R_0805_handsolder-smalltext,C17557
10R,"R2,R3",R_0603_smalltext,C22859
D_Bridge_+-AA,D1,Diode_Bridge_Diotec_SO-DIL-Slim,C5377
SM4007,D8,D_SOD-123F,C64898
22uF,"C1,C10,C11,C12,C13,C2,C3,C4,C5,C6,C7,C8,C9",C_1206_3216Metric,C96123
LED,D2,1206_reverse_mount,
LED,D5,1206_reverse_mount,
Conn_01x01_Pin,J2,01_solderpad_2.54,
LED,D6,1206_reverse_mount,
Conn_01x01_Pin,J4,01_solderpad_2.54,
LM317_TO-252,U7,TO-252-2,
Conn_01x01_Pin,J1,01_solderpad_2.54,
LED,D4,1206_reverse_mount,
Conn_01x01_Pin,J3,01_solderpad_2.54,
LED,D3,1206_reverse_mount,
LED,D7,1206_reverse_mount,
