Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_1206_3216Metric,208.0,221.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,221.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,233.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,233.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,245.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,245.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,257.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,257.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,269.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,269.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,281.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,281.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,293.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,293.7,-90.0,top
C1,22uF,C_1206_3216Metric,338.5,305.7,-90.0,top
C1,22uF,C_1206_3216Metric,208.0,305.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,221.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,221.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,233.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,233.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,245.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,245.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,257.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,257.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,269.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,269.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,281.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,281.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,293.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,293.7,-90.0,top
C2,22uF,C_1206_3216Metric,341.0,305.7,-90.0,top
C2,22uF,C_1206_3216Metric,210.5,305.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,221.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,221.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,233.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,233.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,245.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,245.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,257.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,257.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,269.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,269.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,281.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,281.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,293.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,293.7,-90.0,top
C3,22uF,C_1206_3216Metric,343.5,305.7,-90.0,top
C3,22uF,C_1206_3216Metric,213.0,305.7,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,221.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,221.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,233.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,233.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,245.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,245.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,257.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,257.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,269.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,269.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,281.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,281.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,293.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,293.45,-90.0,top
C4,22uF,C_1206_3216Metric,353.5,305.45,-90.0,top
C4,22uF,C_1206_3216Metric,223.0,305.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,221.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,221.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,233.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,233.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,245.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,245.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,257.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,257.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,269.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,269.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,281.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,281.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,293.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,293.45,-90.0,top
C5,22uF,C_1206_3216Metric,356.0,305.45,-90.0,top
C5,22uF,C_1206_3216Metric,225.5,305.45,-90.0,top
C6,22uF,C_1206_3216Metric,228.0,221.45,-90.0,top
C6,22uF,C_1206_3216Metric,358.5,221.45,-90.0,top
C6,22uF,C_1206_3216Metric,228.0,233.45,-90.0,top
C6,22uF,C_1206_3216Metric,358.5,233.45,-90.0,top
C6,22uF,C_1206_3216Metric,228.0,245.45,-90.0,top
C6,22uF,C_1206_3216Metric,358.5,245.45,-90.0,top
