Comment,Designator,Footprint,LCSC
LM311,U801,SOIC-8_3.9x4.9mm_P1.27mm,C12597
200R,RV201,Potentiometer_Bourns_TC33X_Vertical,C128548
100nF,"C201,C302,C801",C_0603_1608Metric,C14663
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
4027,U901,SOIC-16_3.9x9.9mm_P1.27mm,C157536
330nF,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
10pF,C902,C_0603_1608Metric,C1634
1N4148WS,"D401,D402,D501,D502,D601,D602,D701,D702",D_SOD-323,C2128
100R,"R401,R501,R601,R701",R_0603_smalltext,C22775
150R,R202,R_0603_smalltext,C23138
4k7,R801,R_0603_smalltext,C23162
MB10S,D301,TO-269AA,C2488
0R1,"R802,R803",R_1206_3216Metric,C25334
10k,"R201,R901",R_0603_smalltext,C25804
100nF,"C401,C501,C601,C701,C901",C_0402_1005Metric,C307331
22k,"R902,R903",R_0603_smalltext,C31850
MDD50N03D,"Q401,Q402,Q501,Q502,Q601,Q602,Q701,Q702",TO-252-2,C5357578
L78L05_SOT89,U301,SOT-89-3,C71136
SS53,"D801,D802,D803,D804",D_SMA,C8678
