Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,177.292,-89.408,-90.0,top
C2,22uF,C_1206_3216Metric,171.958,-84.328,0.0,top
C3,100nF,C_0603_1608Metric,170.307,-89.395,-90.0,top
C4,22uF,C_1206_3216Metric,171.196,-58.547,90.0,top
D1,MB10S,MB10s,183.134,-88.138,90.0,top
D2,1N4148WS,D_SOD-323,186.055,-58.801,90.0,top
K1,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,175.27,-67.0,180.0,top
Q1,NPN_TOR,SOT-23,180.848,-58.928,180.0,top
Q2,NPN_TOR,SOT-23,176.53,-57.912,180.0,top
R1,10k,R_0603_smalltext,183.896,-58.9045,90.0,top
R2,4k7,R_0603_smalltext,173.482,-57.404,-90.0,top
R3,4k7,R_0603_smalltext,174.244,-60.706,180.0,top
U1,L78L12_SOT89,SOT-89-3,173.794,-88.0265,270.0,top
