Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100nF,C_0603_1608Metric,179.4275,-88.5995,180.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.575,-63.1375,-90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,184.687,-63.111,-90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,186.973,-63.873,-90.0,top
C401,100nF,C_0402_1005Metric,205.823999,-79.722,-90.0,top
C501,100nF,C_0402_1005Metric,208.05,-60.684,-90.0,top
C601,100nF,C_0402_1005Metric,205.8425,-89.2525,-90.0,top
C701,100nF,C_0402_1005Metric,205.950999,-70.209,-90.0,top
C801,100nF,C_0603_1608Metric,171.3655,-91.066,90.0,top
C901,100nF,C_0402_1005Metric,173.402,-78.5945,-90.0,top
C902,10pF,C_0603_1608Metric,178.99,-86.6945,180.0,top
D301,MB10S,TO-269AA,172.622,-64.127,180.0,top
D401,1N4148WS,D_SOD-323,192.5335,-79.750001,0.0,top
D402,1N4148WS,D_SOD-323,203.283999,-79.75,180.0,top
D501,1N4148WS,D_SOD-323,194.7595,-60.712,0.0,top
D502,1N4148WS,D_SOD-323,205.51,-60.712,180.0,top
D601,1N4148WS,D_SOD-323,192.552,-89.2805,0.0,top
D602,1N4148WS,D_SOD-323,203.3025,-89.2805,180.0,top
D701,1N4148WS,D_SOD-323,192.6605,-70.237001,0.0,top
D702,1N4148WS,D_SOD-323,203.410999,-70.237,180.0,top
D801,SS53,D_SMA,176.916,-73.559,180.0,top
D802,SS53,D_SMA,169.582,-73.559,180.0,top
D803,SS53,D_SMA,176.821,-69.876,180.0,top
D804,SS53,D_SMA,169.582,-69.876,180.0,top
Q401,MDD50N03D,TO-252-2,202.859,-84.449,180.0,top
Q402,MDD50N03D,TO-252-2,193.158,-84.449,0.0,top
Q501,MDD50N03D,TO-252-2,205.085,-65.411,180.0,top
Q502,MDD50N03D,TO-252-2,195.384,-65.411,0.0,top
Q601,MDD50N03D,TO-252-2,202.8775,-93.9795,180.0,top
Q602,MDD50N03D,TO-252-2,193.1765,-93.9795,0.0,top
Q701,MDD50N03D,TO-252-2,202.986,-74.936,180.0,top
Q702,MDD50N03D,TO-252-2,193.285,-74.936,0.0,top
R201,10k,R_0603_smalltext,182.7295,-88.5995,180.0,top
R202,150R,R_0603_smalltext,179.6815,-94.1875,0.0,top
R401,100R,R_0603_smalltext,196.333,-79.750001,180.0,top
R501,100R,R_0603_smalltext,198.559,-60.712,180.0,top
R601,100R,R_0603_smalltext,196.3515,-89.2805,180.0,top
R701,100R,R_0603_smalltext,196.46,-70.237001,180.0,top
R801,4k7,R_0603_smalltext,174.1595,-96.26,180.0,top
R802,0R1,R_1206_3216Metric,182.9875,-70.599,0.0,top
R803,0R1,R_1206_3216Metric,182.9875,-73.0,180.0,top
R901,10k,R_0603_smalltext,179.0935,-85.0435,0.0,top
R902,22k,R_0603_smalltext,182.673,-84.9165,180.0,top
R903,22k,R_0603_smalltext,175.561,-85.0435,180.0,top
RV201,200R,Potentiometer_Bourns_TC33X_Vertical,180.6975,-91.3935,0.0,top
U301,L78L05_SOT89,SOT-89-3,181.028,-64.299,90.0,top
U801,LM311,SOIC-8_3.9x4.9mm_P1.27mm,174.9825,-91.5205,0.0,top
U901,4027,SOIC-16_3.9x9.9mm_P1.27mm,179.244,-80.2175,0.0,top
