Comment,Designator,Footprint,LCSC
220uF,"C1,C2",CP_Elec_8x10,C136294
680R,R2,R_0603_smalltext,C17798
MB10S,D3,TO-269AA,C2488
G6K-2,K1,Relay_DPDT_Omron_G6K-2F-Y,C397192
1k5,R1,R_0805_handsolder-smalltext,C4310
D,"D1,D2,D4",D_SOD-123F,C64898
Screw_Terminal_01x03,J4,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",
Screw_Terminal_01x03,J3,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",
Screw_Terminal_01x03,J2,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",
Screw_Terminal_01x03,J1,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",
