Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Elec_8x10,141.0,-131.0,180.0,top
C2,220uF,CP_Elec_8x10,126.0,-129.0,0.0,top
D1,D,D_SOD-123F,149.754,-128.0,0.0,top
D2,D,D_SOD-123F,148.5,-134.5,90.0,top
D3,MB10S,TO-269AA,156.0,-130.0,180.0,top
D4,D,D_SOD-123F,133.0,-128.6,90.0,top
J1,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",140.0,-151.5,0.0,top
J2,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",140.055,-121.0675,180.0,top
J3,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",155.9325,-140.5,90.0,top
J4,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal",125.5225,-140.462,-90.0,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2F-Y,139.9,-141.0,0.0,top
R1,1k5,R_0805_handsolder-smalltext,149.5,-130.5,180.0,top
R2,680R,R_0603_smalltext,133.0,-133.1,-90.0,top
