Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,92.573,-103.623,0.0,top
C202,100nF,C_0402_1005Metric,95.579411,-106.045589,45.0,top
C203,12pF,C_0603_1608Metric,89.652,-106.385,-90.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.1435,-91.059,180.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.17,-98.171,180.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.408,-100.457,180.0,top
C501,100nF,C_0402_1005Metric,97.131,-99.37,180.0,top
C901,22uF,C_0603_1608Metric,85.2975,-82.042,90.0,top
C902,100nF,C_0402_1005Metric,85.8055,-84.681,-90.0,top
C903,22nF,C_0402_1005Metric,84.6625,-84.681,-90.0,top
C904,22uF,C_0603_1608Metric,90.9005,-79.248,-90.0,top
C905,22uF,C_0603_1608Metric,89.2345,-79.248,-90.0,top
C906,100nF,C_0402_1005Metric,92.2825,-79.25,-90.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,78.867,-93.091,180.0,top
D301,SS53,D_SMA,107.569,-76.676,90.0,top
D302,SS53,D_SMA,107.569,-84.042,90.0,top
D303,SS53,D_SMA,111.252,-76.676,-90.0,top
D304,SS53,D_SMA,111.252,-84.042,-90.0,top
D401,SS53,D_SMA,122.174,-76.679,90.0,top
D402,SS53,D_SMA,122.174,-84.0595,90.0,top
D403,SS53,D_SMA,125.801,-76.6935,-90.0,top
D404,SS53,D_SMA,125.801,-84.0595,-90.0,top
D501,SS53,D_SMA,123.549,-92.742,-90.0,top
D502,SS53,D_SMA,119.866,-92.615,90.0,top
D503,SS53,D_SMA,116.183,-92.615,-90.0,top
D504,SS53,D_SMA,110.817,-98.33,0.0,top
D505,1N4148WS,D_SOD-323,95.099,-96.991,90.0,top
D506,SS53,D_SMA,112.5,-92.615,90.0,top
D507,SS53,D_SMA,108.817,-92.615,-90.0,top
D701,MB10S,TO-269AA,94.234,-74.168,180.0,top
K501,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,101.5,-93.98,0.0,top
L901,L,L_Bourns-SRU8028_8.0x8.0mm,82.931,-75.311,0.0,top
Q501,NPN_TOR,SOT-23,94.337,-91.242,270.0,top
Q801,NPN_TOR,SOT-23,132.5315,-75.0335,180.0,top
Q802,NPN_TOR,SOT-23,132.5315,-78.6445,180.0,top
Q803,NPN_TOR,SOT-23,132.5315,-82.2725,180.0,top
R1,330R,R_0603_smalltext,117.983,-122.682,-90.0,top
R2,330R,R_0603_smalltext,95.123,-121.412,90.0,top
R3,3k3,R_0805_handsolder-smalltext,92.075,-118.618,-90.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,78.867,-90.297,180.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,106.68,-105.029,180.0,top
R203,10k,R_0603_smalltext,84.5,-93.0,0.0,top
R204,10k,R_0603_smalltext,121.9708,-105.2068,0.0,top
R301,47R,R_0603_smalltext,102.235,-86.36,180.0,top
R401,47R,R_0603_smalltext,117.165,-86.426,180.0,top
R501,1k,R_0603_smalltext,94.337,-94.163,180.0,top
R801,10k,R_0603_smalltext,99.615,-62.512,-90.0,top
R802,10k,R_0603_smalltext,108.875,-62.7895,-90.0,top
R803,1k,R_0603_smalltext,129.667,-75.0335,90.0,top
R804,1k,R_0603_smalltext,129.667,-78.5895,90.0,top
R805,1k,R_0603_smalltext,129.667,-82.2725,90.0,top
R901,220k,R_0603_1608Metric,97.1085,-80.264,-90.0,top
R902,20k,R_0603_1608Metric,95.9655,-83.439,-90.0,top
R903,150k,R_0603_1608Metric,95.4575,-80.264,90.0,top
U1,EL817S,SMDIP-4_W7.62mm,101.219,-122.047,0.0,top
U2,EL817S,SMDIP-4_W7.62mm,111.887,-122.047,180.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,100.203,-109.855,225.0,top
U301,L78L05_SOT89,SOT-89-3,88.982,-94.512,0.0,top
U302,EL814,SMDIP-4_W9.53mm,102.616,-79.314,90.0,top
U402,EL814,SMDIP-4_W9.53mm,117.546,-79.314,90.0,top
U901,MT2499A,TI_SO-PowerPAD-8,90.537,-83.693,0.0,top
Y201,Crystal_GND2,crystal_arduino,92.48,-106.544,180.0,top
