Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.942,-52.1375,-90.0,top
C202,100uF,CP_Elec_6.3x5.9,155.321,-47.885,90.0,top
D1,1N4148WS,D_SOD-323,176.9,-76.4,180.0,top
D2,1N4148WS,D_SOD-323,176.9,-74.4,180.0,top
D201,12V,D_SOD-123,178.562,-49.149,180.0,top
D202,12V,D_SOD-123,173.481,-49.149,0.0,top
J101,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Horizontal,190.375,-73.015,0.0,top
J102,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Horizontal,157.226,-73.025,0.0,top
J103,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",176.305,-41.4135,180.0,top
J201,Barrel_Jack,BarrelJack_GCT_DCJ200-10-A_Horizontal,164.76,-43.511,180.0,top
Q1,NPN_TOR,SOT-23,182.5,-67.5,180.0,top
Q201,P-channel,SOT-23,169.0375,-56.5935,90.0,top
Q202,N-channel,SOT-23,169.0375,-60.7545,270.0,top
Q203,P-channel,SOT-23,172.9745,-56.5935,90.0,top
Q204,N-channel,SOT-23,172.9745,-60.7545,270.0,top
R1,1k5,R_0603_smalltext,179.5,-76.3,90.0,top
R201,470R,R_0603_smalltext,155.4125,-65.0,180.0,top
R202,10k,R_0603_smalltext,166.2435,-54.864,90.0,top
R203,10k,R_0603_smalltext,166.2435,-58.4435,-90.0,top
R204,15k,R_0603_smalltext,166.2435,-61.9995,-90.0,top
R205,1k5,R_0603_smalltext,182.245,-48.514,-90.0,top
R206,10k,R_0603_smalltext,175.7685,-54.8875,90.0,top
R207,15k,R_0603_smalltext,175.7685,-61.9995,-90.0,top
R208,10k,R_0603_smalltext,175.7685,-58.4435,-90.0,top
R209,470R,R_0603_smalltext,187.452,-64.643,180.0,top
U201,6N137,SOP-8_6.605x9.655mm_P2.54mm,158.5,-58.547,270.0,top
U202,EL814,SMDIP-4_W9.53mm,174.056,-66.802,0.0,top
U203,6N137,SOP-8_6.605x9.655mm_P2.54mm,183.3885,-58.42,90.0,top
