Comment,Designator,Footprint,LCSC
Crystal_GND2,Y1,crystal_arduino,C13738
CH340G,U3,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100nF,"C2,C5,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U2,TQFP-32_7x7mm_P0.8mm,C14877
22pF,"C6,C7",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1653
4k7,R3,R_0805_handsolder-smalltext,C17673
12pF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1792
1k,"R4,R5",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
10k,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
USB_B_Mini,J1,USB_Mini-B_Lumberg_2486_01_Horizontal,C2681563
Crystal,Y2,crystal_arduino,C9002
10uF,C4,R_0603_1608Metric,C96446
SW_SPDT,SW101,PinHeader_1x03_P2.54mm_Vertical,
SW_SPDT,SW2,PinHeader_1x03_P2.54mm_Vertical,
HEADER_3x2,U1,PinSocket_2x03_P1.27mm_Vertical,
1x6 ISP,J5,PinHeader_1x06_P2.54mm_Horizontal,
12pF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
UDPI,J3,PinHeader_1x03_P2.54mm_Horizontal,
2x3 ISP,J2,PinSocket_2x03_P2.54mm_Vertical,
USB_TTL,J4,PinHeader_1x05_P2.54mm_Horizontal,
