Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,134.587,-75.587,45.0,top
C2,100nF,C_0603_1608Metric,135.770008,-76.816992,-135.0,top
C3,100nF,C_0603_1608Metric,137.0,-78.0,-135.0,top
C4,100nF,C_0603_1608Metric,138.27,-79.143,-135.0,top
C5,100nF,C_0603_1608Metric,139.54,-80.286,-135.0,top
C6,100nF,C_0603_1608Metric,119.42,-75.2465,-90.0,top
C201,12pF,C_0603_1608Metric,155.276268,-80.575324,180.0,top
C202,100nF,C_0402_1005Metric,152.269857,-78.152735,-135.0,top
C203,12pF,C_0603_1608Metric,158.197268,-77.813324,90.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.969,-64.2885,-90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.081,-64.262,-90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,142.367,-65.024,-90.0,top
C501,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.174,-63.3095,180.0,top
D201,LED,LED_D3.0mm,157.0,-67.5,-90.0,top
D202,LED,LED_D3.0mm,161.5,-67.5,-90.0,top
Q501,NPN_TOR,SOT-23,127.762,-66.2305,270.0,top
Q502,P-channel,SOT-23,124.079,-66.2305,90.0,top
Q503,N-channel,SOT-23,124.079,-70.4215,270.0,top
Q504,P-channel,SOT-23,120.142,-66.2305,90.0,top
Q505,N-channel,SOT-23,120.142,-70.4165,270.0,top
Q506,NPN_TOR,SOT-23,116.332,-66.2305,270.0,top
R101,0R1,R_1206_3216Metric,121.706,-75.1195,-90.0,top
R102,0R1,R_1206_3216Metric,124.119,-75.1195,-90.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,158.115,-71.628,90.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.419,-63.881,90.0,top
R203,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.766,-71.628,90.0,top
R501,1k,R_0603_smalltext,127.762,-69.2785,180.0,top
R502,10k,R_0603_smalltext,127.7385,-71.0565,180.0,top
R503,10k,R_0603_smalltext,116.459,-71.0565,0.0,top
R504,1k,R_0603_smalltext,116.459,-69.2785,180.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,147.646268,-74.343324,45.0,top
U301,L78L05_SOT89,SOT-89-3,136.422,-65.45,90.0,top
Y201,Crystal_GND2,crystal_arduino,155.369268,-77.654324,0.0,top
