Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,177.292,-89.408,-90.0,top
C2,22uF,C_1206_3216Metric,171.958,-84.328,0.0,top
C3,100nF,C_0603_1608Metric,170.307,-89.395,-90.0,top
C4,22uF,C_1206_3216Metric,171.196,-58.547,90.0,top
D1,MB10S,TO-269AA,183.007,-88.138,0.0,top
D2,1N4148WS,D_SOD-323,186.055,-58.801,90.0,top
J1,DCC_IN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",187.401,-78.735,90.0,top
J2,DCC_out,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",187.401,-68.575,90.0,top
J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Horizontal,174.695,-77.358,180.0,top
K1,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,175.27,-67.0,180.0,top
Q1,BC847,SOT-23,180.848,-58.928,180.0,top
Q2,BC847,SOT-23,176.53,-58.928,180.0,top
R1,10k,R_0603_smalltext,183.896,-58.9045,90.0,top
R2,10k,R_0603_smalltext,173.482,-58.928,-90.0,top
U1,L78L12_SOT89,SOT-89-3,173.794,-88.0265,270.0,top
