Comment,Designator,Footprint,LCSC
10k,"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
22R,"R1,R10,R11,R12,R13,R14,R15,R16,R2,R3,R4,R5,R6,R7,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17958
AO3400A,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C20917
D_Bridge_+-AA,D17,Diode_Bridge_Diotec_SO-DIL-Slim,C5377
D,"D1,D10,D11,D12,D13,D14,D15,D16,D2,D3,D4,D5,D6,D7,D8,D9",D_SMA,C8678
coil,J6,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
pow,J9,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
coil,J4,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
Conn_01x18_Male,J10,PinHeader_1x18_P2.54mm_Horizontal,
coil,J7,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
coil,J5,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
coil,J2,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
coil,J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
coil,J1,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
coil,J8,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
