Comment,Designator,Footprint,LCSC
6N137,U3,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,C302,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
330nF,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
1k,"R204,R302,R402,R502",R_0603_smalltext,C21190
D,"D1,D202,D302,D401,D501",D_SOD-323,C2128
NPN_TOR,"Q201,Q301,Q401,Q501",SOT-23,C2145
100R,"R203,R301,R401,R501",R_0603_smalltext,C22775
1k5,R5,R_0603_smalltext,C22843
MB10S,D301,TO-269AA,C2488
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R3,R4",R_0603_smalltext,C25804
100nF,C202,C_0402_1005Metric,C307331
default_switch,SW601,default_switch,C318884
12pF,"C201,C203",C_0603_1608Metric,C38523
FEMALE,J701,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C395831
G6K-2F-Y-TR DC12,"K201,K301,K401,K501",Relay_DPDT_Omron_G6K-2F-Y,C397192
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
~,"J201,J203,J301,J302,J401,J402,J501,J502","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",C430551
AMS1117-5.0,U301,SOT-223-3_TabPin2,C6187
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
