Comment,Designator,Footprint,LCSC
ABS2,"D1001,D1101,D1301,D1401,D1501,D1601,D1701,D1801,D1901,D201,D401,D501,D601,D701,D801,D901",Diode_Bridge_Diotec_ABS,C123897
~,"U1201,U1202,U301,U302",SOIC-16_3.9x9.9mm_P1.27mm,C133986
BC847,Q2101,SOT-23,C181140
4k7,"R1002,R1102,R1302,R1402,R1502,R1602,R1702,R1802,R1902,R202,R2101,R402,R502,R602,R702,R802,R902",R_0603_smalltext,C23162
47R,"R1003,R1103,R1303,R1403,R1503,R1603,R1703,R1803,R1903,R203,R403,R503,R603,R703,R803,R903",R_0603_smalltext,C23182
100k,R2102,R_0603_smalltext,C25803
10k,"R1001,R1101,R1301,R1401,R1501,R1601,R1701,R1801,R1901,R201,R401,R501,R601,R701,R801,R901",R_0603_smalltext,C25804
RJ45,"J2101,J2102",RJ45_Amphenol_54602-x08_Horizontal,C2847314
100nF,"C1201,C1202,C301,C302",C_0402_1005Metric,C307331
4014,"U2001,U2002",SOIC-16_3.9x9.9mm_P1.27mm,C496106
EL814,"U1001,U1101,U1301,U1401,U1501,U1601,U1701,U1801,U1901,U201,U401,U501,U601,U701,U801,U901",SMDIP-4_W9.53mm,C500388
Screw_Terminal_01x03,"J101,J102,J103,J104,J105,J106","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C557666
