Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1201,100nF,C_0402_1005Metric,177.611,-110.998,-90.0,top
C1202,100nF,C_0402_1005Metric,177.865,-98.171,90.0,top
C301,100nF,C_0402_1005Metric,157.482999,-112.803999,-90.0,top
C302,100nF,C_0402_1005Metric,157.036999,-98.679,-90.0,top
D1001,ABS2,Diode_Bridge_Diotec_ABS,126.611,-69.538,180.0,top
D1101,ABS2,Diode_Bridge_Diotec_ABS,201.433,-69.474,0.0,top
D1301,ABS2,Diode_Bridge_Diotec_ABS,201.433,-75.474,0.0,top
D1401,ABS2,Diode_Bridge_Diotec_ABS,201.433,-81.474,0.0,top
D1501,ABS2,Diode_Bridge_Diotec_ABS,201.433,-87.474,0.0,top
D1601,ABS2,Diode_Bridge_Diotec_ABS,201.433,-93.474,0.0,top
D1701,ABS2,Diode_Bridge_Diotec_ABS,201.433,-99.474,0.0,top
D1801,ABS2,Diode_Bridge_Diotec_ABS,201.433,-105.474,0.0,top
D1901,ABS2,Diode_Bridge_Diotec_ABS,201.433,-111.474,0.0,top
D201,ABS2,Diode_Bridge_Diotec_ABS,126.611,-111.538,180.0,top
D401,ABS2,Diode_Bridge_Diotec_ABS,126.611,-105.538,180.0,top
D501,ABS2,Diode_Bridge_Diotec_ABS,126.611,-99.538,180.0,top
D601,ABS2,Diode_Bridge_Diotec_ABS,126.611,-93.538,180.0,top
D701,ABS2,Diode_Bridge_Diotec_ABS,126.611,-87.538,180.0,top
D801,ABS2,Diode_Bridge_Diotec_ABS,126.611,-81.538,180.0,top
D901,ABS2,Diode_Bridge_Diotec_ABS,126.611,-75.538,180.0,top
J101,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",116.028,-75.452,-90.0,top
J102,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",116.028,-90.692,-90.0,top
J103,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",116.028,-105.932,-90.0,top
J104,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",211.706,-105.932,90.0,top
J105,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",211.706,-90.692,90.0,top
J106,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",211.706,-75.452,90.0,top
J2101,RJ45,RJ45_Amphenol_54602-x08_Horizontal,172.921,-70.532,180.0,top
J2102,RJ45,RJ45_Amphenol_54602-x08_Horizontal,156.291,-70.512,180.0,top
Q2101,BC847,SOT-23,163.26,-82.804,180.0,top
R1001,10k,R_0603_smalltext,146.333,-68.636917,-90.0,top
R1002,4k7,R_0603_smalltext,131.093,-69.779917,90.0,top
R1003,47R,R_0603_smalltext,132.759,-69.779917,90.0,top
R1101,10k,R_0603_smalltext,181.711,-70.375083,90.0,top
R1102,4k7,R_0603_smalltext,196.951,-69.232083,-90.0,top
R1103,47R,R_0603_smalltext,195.285,-69.232083,-90.0,top
R1301,10k,R_0603_smalltext,181.711,-76.375083,90.0,top
R1302,4k7,R_0603_smalltext,196.951,-75.232083,-90.0,top
R1303,47R,R_0603_smalltext,195.285,-75.232083,-90.0,top
R1401,10k,R_0603_smalltext,181.711,-82.375083,90.0,top
R1402,4k7,R_0603_smalltext,196.951,-81.232083,-90.0,top
R1403,47R,R_0603_smalltext,195.285,-81.232083,-90.0,top
R1501,10k,R_0603_smalltext,181.711,-88.375083,90.0,top
R1502,4k7,R_0603_smalltext,196.951,-87.232083,-90.0,top
R1503,47R,R_0603_smalltext,195.285,-87.232083,-90.0,top
R1601,10k,R_0603_smalltext,181.711,-94.375083,90.0,top
R1602,4k7,R_0603_smalltext,196.951,-93.232083,-90.0,top
R1603,47R,R_0603_smalltext,195.285,-93.232083,-90.0,top
R1701,10k,R_0603_smalltext,181.711,-100.375083,90.0,top
R1702,4k7,R_0603_smalltext,196.951,-99.232083,-90.0,top
R1703,47R,R_0603_smalltext,195.285,-99.232083,-90.0,top
R1801,10k,R_0603_smalltext,181.711,-106.375083,90.0,top
R1802,4k7,R_0603_smalltext,196.951,-105.232083,-90.0,top
R1803,47R,R_0603_smalltext,195.285,-105.232083,-90.0,top
R1901,10k,R_0603_smalltext,181.711,-112.375083,90.0,top
R1902,4k7,R_0603_smalltext,196.951,-111.232083,-90.0,top
R1903,47R,R_0603_smalltext,195.285,-111.232083,-90.0,top
R201,10k,R_0603_smalltext,146.333,-110.636917,-90.0,top
R202,4k7,R_0603_smalltext,131.093,-111.779917,90.0,top
R203,47R,R_0603_smalltext,132.759,-111.779917,90.0,top
R2101,4k7,R_0603_smalltext,163.26,-79.756,0.0,top
R2102,100k,R_0603_smalltext,163.26,-85.852,180.0,top
R401,10k,R_0603_smalltext,146.333,-104.636917,-90.0,top
R402,4k7,R_0603_smalltext,131.093,-105.779917,90.0,top
R403,47R,R_0603_smalltext,132.759,-105.779917,90.0,top
R501,10k,R_0603_smalltext,146.333,-98.636917,-90.0,top
R502,4k7,R_0603_smalltext,131.093,-99.779917,90.0,top
R503,47R,R_0603_smalltext,132.759,-99.779917,90.0,top
R601,10k,R_0603_smalltext,146.333,-92.636917,-90.0,top
R602,4k7,R_0603_smalltext,131.093,-93.779917,90.0,top
R603,47R,R_0603_smalltext,132.759,-93.779917,90.0,top
