Comment,Designator,Footprint,LCSC
~,"U1201,U1202,U301,U302",SOIC-16_3.9x9.9mm_P1.27mm,C133986
100nF,"C1001,C1101,C1301,C1401,C1501,C1601,C1701,C1801,C1901,C201,C401,C501,C601,C701,C801,C901",C_0402_1005Metric,C15195
BC847,Q2101,SOT-23,C181140
4k7,R2101,R_0603_smalltext,C23162
100k,"R1001,R1101,R1301,R1401,R1501,R1601,R1701,R1801,R1901,R201,R2102,R401,R501,R601,R701,R801,R901",R_0603_smalltext,C25803
10k,"R1002,R1102,R1302,R1402,R1502,R1602,R1702,R1802,R1902,R202,R402,R502,R602,R702,R802,R902",R_0603_smalltext,C25804
RJ45,"J2101,J2102",RJ45_Amphenol_54602-x08_Horizontal,C2847314
100nF,"C1201,C1202,C301,C302",C_0402_1005Metric,C307331
4014,"U2001,U2002",SOIC-16_3.9x9.9mm_P1.27mm,C496106
Screw_Terminal_01x03,"J101,J102,J103,J104,J105,J106","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C557666
