Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1001,100nF,C_0402_1005Metric,219.9545,-44.016,0.0,top
C1101,100nF,C_0402_1005Metric,184.7675,-54.1895,180.0,top
C1201,100nF,C_0402_1005Metric,188.595,-48.514,90.0,top
C1202,100nF,C_0402_1005Metric,188.341,-61.341,-90.0,top
C1301,100nF,C_0402_1005Metric,184.7675,-65.1895,180.0,top
C1401,100nF,C_0402_1005Metric,184.7675,-59.522374,180.0,top
C1501,100nF,C_0402_1005Metric,184.7675,-70.403374,180.0,top
C1601,100nF,C_0402_1005Metric,184.7675,-76.022374,180.0,top
C1701,100nF,C_0402_1005Metric,184.7675,-43.6895,180.0,top
C1801,100nF,C_0402_1005Metric,184.7675,-48.5705,180.0,top
C1901,100nF,C_0402_1005Metric,184.7675,-38.6895,180.0,top
C201,100nF,C_0402_1005Metric,219.9545,-80.867,0.0,top
C301,100nF,C_0402_1005Metric,208.723001,-46.708001,90.0,top
C302,100nF,C_0402_1005Metric,209.169001,-60.833,90.0,top
C401,100nF,C_0402_1005Metric,219.9345,-75.406,0.0,top
C501,100nF,C_0402_1005Metric,219.9345,-70.199,0.0,top
C601,100nF,C_0402_1005Metric,219.9545,-64.738,0.0,top
C701,100nF,C_0402_1005Metric,219.9345,-59.404,0.0,top
C801,100nF,C_0402_1005Metric,219.9345,-54.229,0.0,top
C901,100nF,C_0402_1005Metric,219.944,-48.98275,0.0,top
J101,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",228.305,-83.222776,90.0,top
J102,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",228.305,-67.982776,90.0,top
J103,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",228.305,-52.742776,90.0,top
J104,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",176.5,-52.932,-90.0,top
J105,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",176.5,-68.172,-90.0,top
J106,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",176.5,-83.412,-90.0,top
J2101,RJ45,RJ45_Amphenol_54602-x08_Horizontal,193.285,-88.98,0.0,top
J2102,RJ45,RJ45_Amphenol_54602-x08_Horizontal,209.922,-88.98,0.0,top
Q2101,BC847,SOT-23,202.946,-76.708,0.0,top
R1001,100k,R_0603_smalltext,220.0875,-41.0,0.0,top
R1002,10k,R_0603_smalltext,220.0875,-42.619,0.0,top
R1101,100k,R_0603_smalltext,184.6345,-57.2055,180.0,top
R1102,10k,R_0603_smalltext,184.6345,-55.5865,180.0,top
R1301,100k,R_0603_smalltext,184.6345,-68.2055,180.0,top
R1302,10k,R_0603_smalltext,184.6345,-66.5865,180.0,top
R1401,100k,R_0603_smalltext,184.6345,-62.538374,180.0,top
R1402,10k,R_0603_smalltext,184.6345,-60.919374,180.0,top
R1501,100k,R_0603_smalltext,184.6345,-73.419374,180.0,top
R1502,10k,R_0603_smalltext,184.6345,-71.800374,180.0,top
R1601,100k,R_0603_smalltext,184.6345,-79.038374,180.0,top
R1602,10k,R_0603_smalltext,184.6345,-77.419374,180.0,top
R1701,100k,R_0603_smalltext,184.6345,-46.7055,180.0,top
R1702,10k,R_0603_smalltext,184.6345,-45.0865,180.0,top
R1801,100k,R_0603_smalltext,184.6345,-51.5865,180.0,top
R1802,10k,R_0603_smalltext,184.6345,-49.9675,180.0,top
R1901,100k,R_0603_smalltext,184.6345,-41.7055,180.0,top
R1902,10k,R_0603_smalltext,184.6345,-40.0865,180.0,top
R201,100k,R_0603_smalltext,220.0875,-77.851,0.0,top
R202,10k,R_0603_smalltext,220.0875,-79.47,0.0,top
R2101,4k7,R_0603_smalltext,202.946,-79.756,180.0,top
R2102,100k,R_0603_smalltext,202.946,-73.66,0.0,top
R401,100k,R_0603_smalltext,220.0675,-72.39,0.0,top
R402,10k,R_0603_smalltext,220.0675,-74.009,0.0,top
R501,100k,R_0603_smalltext,220.0675,-67.183,0.0,top
R502,10k,R_0603_smalltext,220.0675,-68.802,0.0,top
R601,100k,R_0603_smalltext,220.0875,-61.722,0.0,top
R602,10k,R_0603_smalltext,220.0875,-63.341,0.0,top
R701,100k,R_0603_smalltext,220.0675,-56.388,0.0,top
R702,10k,R_0603_smalltext,220.0675,-58.007,0.0,top
R801,100k,R_0603_smalltext,220.0675,-51.213,0.0,top
R802,10k,R_0603_smalltext,220.0675,-52.832,0.0,top
R901,100k,R_0603_smalltext,220.077,-45.96675,0.0,top
R902,10k,R_0603_smalltext,220.077,-47.58575,0.0,top
U1201,~,SOIC-16_3.9x9.9mm_P1.27mm,192.913,-48.387,270.0,top
U1202,~,SOIC-16_3.9x9.9mm_P1.27mm,192.659,-60.071,270.0,top
U2001,4014,SOIC-16_3.9x9.9mm_P1.27mm,211.963,-74.549,0.0,top
U2002,4014,SOIC-16_3.9x9.9mm_P1.27mm,193.548,-74.676,0.0,top
U301,~,SOIC-16_3.9x9.9mm_P1.27mm,213.425,-60.833,270.0,top
U302,~,SOIC-16_3.9x9.9mm_P1.27mm,212.979,-46.609,270.0,top
