Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,183.665103,-118.653583,90.0,top
C202,100nF,C_0402_1005Metric,186.087692,-115.647172,135.0,top
C203,12pF,C_0603_1608Metric,186.427103,-121.574583,0.0,top
C204,100nF,C_0402_1005Metric,183.607113,-114.935,135.0,top
C401,1000uF,CP_Elec_8x10.5,195.199,-123.19,0.0,top
C402,22uF,C_0603_1608Metric,202.565,-117.094,-90.0,top
C901,22uF,C_0603_1608Metric,213.614,-123.063,90.0,top
C902,100nF,C_0402_1005Metric,214.122,-125.702,-90.0,top
C903,22nF,C_0402_1005Metric,212.979,-125.702,-90.0,top
C904,22uF,C_0603_1608Metric,219.217,-120.269,-90.0,top
C905,22uF,C_0603_1608Metric,217.551,-120.269,-90.0,top
C906,100nF,C_0402_1005Metric,220.599,-120.271,-90.0,top
C907,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.362,-122.174,-90.0,top
D1001,1N4148WS,D_SOD-323,212.217,-113.919,180.0,top
D1101,SS53,D_SMA,236.347,-118.777,90.0,top
D1102,SS53,D_SMA,232.537,-118.779,-90.0,top
D1103,SS53,D_SMA,236.327,-126.143,-90.0,top
D1104,SS53,D_SMA,232.537,-126.238,90.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.086,-109.474,180.0,top
D401,1N4148WS,D_SOD-323,200.406,-117.094,-90.0,top
D701,1N4148WS,D_SOD-323,190.5,-134.366,0.0,top
D702,1N4148WS,D_SOD-323,200.914,-134.366,0.0,top
D801,1N4148WS,D_SOD-323,211.582,-134.366,0.0,top
D802,1N4148WS,D_SOD-323,221.869,-134.366,0.0,top
D901,1N4148WS,D_SOD-323,232.537,-134.239,0.0,top
D902,1N4148WS,D_SOD-323,242.824,-134.239,0.0,top
J101,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",240.919,-122.373,90.0,top
J102,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",204.95,-110.6285,180.0,top
J103,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",202.438,-153.289,0.0,top
J104,Screw_Terminal_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",217.678,-153.289,0.0,top
J701,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,190.119,-153.289,0.0,top
J801,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,229.997,-153.289,0.0,top
J901,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,237.49,-153.289,0.0,top
K701,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,187.5,-141.0,270.0,top
K702,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,197.85,-141.0,270.0,top
K801,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,208.473646,-141.0,270.0,top
K802,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,218.823646,-141.0,270.0,top
K901,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,229.473646,-140.899,270.0,top
K902,G6K-2F-Y-TR DC5,Relay_DPDT_Omron_G6K-2F-Y,239.823646,-140.899,270.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,207.3105,-123.698,90.0,top
Q701,NPN_TOR,SOT-23,186.6415,-133.604,270.0,top
Q702,NPN_TOR,SOT-23,196.977,-133.604,270.0,top
Q801,NPN_TOR,SOT-23,207.645,-133.604,270.0,top
Q802,NPN_TOR,SOT-23,217.932,-133.604,270.0,top
Q901,NPN_TOR,SOT-23,228.6485,-133.416,270.0,top
Q902,NPN_TOR,SOT-23,238.887,-133.477,270.0,top
R1001,1k,R_0603_smalltext,213.517657,-111.194343,-90.0,top
R1002,10k,R_0603_smalltext,227.995657,-111.448343,-90.0,top
R1003,10k,R_0603_smalltext,227.995657,-115.258343,-90.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,179.9755,-107.483,180.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,228.981,-105.791,-90.0,top
R701,10k,R_0603_smalltext,188.087,-147.574,0.0,top
R702,10k,R_0603_smalltext,191.6665,-147.574,180.0,top
R703,1k5,R_0603_smalltext,183.769,-133.604,90.0,top
R704,1k5,R_0603_smalltext,194.056,-133.604,90.0,top
R801,10k,R_0603_smalltext,228.139,-147.828,0.0,top
R802,10k,R_0603_smalltext,231.7985,-147.828,180.0,top
R803,1k5,R_0603_smalltext,204.724,-133.604,90.0,top
R804,1k5,R_0603_smalltext,214.884,-133.604,90.0,top
R901,220k,R_0603_1608Metric,225.425,-121.285,-90.0,top
R902,20k,R_0603_1608Metric,224.282,-124.46,-90.0,top
R903,150k,R_0603_1608Metric,223.774,-121.285,90.0,top
R904,10k,R_0603_smalltext,235.8625,-147.828,0.0,top
R905,10k,R_0603_smalltext,239.5455,-147.828,180.0,top
R906,1k5,R_0603_smalltext,225.6005,-133.416,90.0,top
R907,1k5,R_0603_smalltext,235.966,-133.477,90.0,top
SW601,SW_Push,tactile_SMD_6mm,176.403,-147.5,90.0,top
SW602,SW_Push,tactile_SMD_6mm,176.403,-137.0,90.0,top
SW603,SW_Push,tactile_SMD_6mm,176.403,-126.5,90.0,top
SW604,SW_Push,tactile_SMD_6mm,176.5,-116.0,90.0,top
U1001,6N137,SOP-8_6.62x9.15mm_P2.54mm,220.840657,-113.630343,270.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,189.897103,-111.023583,315.0,top
U901,MT2499A,TI_SO-PowerPAD-8,218.8535,-124.714,0.0,top
Y201,Crystal_GND2,crystal_arduino,186.366103,-118.696583,-90.0,top
