Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.745361,-53.354047,90.0,top
C101,100nF,C_0402_1005Metric,132.969,-39.751,-90.0,top
C1501,2200uF,CP_Elec_18x17.5,166.0,-27.5,180.0,top
C1502,2200uF,CP_Elec_18x17.5,166.0,-47.5,180.0,top
C1503,2200uF,CP_Elec_18x17.5,166.0,-67.5,180.0,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.571361,-54.691547,-90.0,top
C3,100nF,C_0402_1005Metric,120.94595,-50.982636,135.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.806,-51.435,-90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.93,-41.157,180.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.358,-40.903,0.0,top
C501,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,143.51,-53.213,90.0,top
D1,D,D_SOD-323,114.461,-54.784,0.0,top
D11,~,D_SMA,143.302,-65.3265,180.0,top
D12,~,D_SMA,150.668,-65.3265,0.0,top
D1501,D,D_SMA,180.975,-58.166,180.0,top
D1503,D,D_SMA,180.975,-61.824,180.0,top
D21,~,D_SMA,128.302,-65.3265,180.0,top
D22,~,D_SMA,135.668,-65.3265,0.0,top
D301,MB10S,TO-269AA,103.505,-53.086,0.0,top
D31,~,D_SMA,113.302,-65.3265,180.0,top
D32,~,D_SMA,120.668,-65.3265,0.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.5,-40.0,90.0,top
D41,~,D_SMA,98.302,-65.3265,180.0,top
D42,~,D_SMA,105.668,-65.3265,0.0,top
D501,D,D_SMA,143.5,-46.0,180.0,top
D502,D,D_SMA,143.5,-49.5,180.0,top
D503,D,D_SMA,147.955,-53.213,180.0,top
D504,D,D_SMA,147.415,-42.164,180.0,top
D51,~,D_SMA,105.698,-29.866,0.0,top
D52,~,D_SMA,98.332,-29.866,180.0,top
D61,~,D_SMA,120.698,-29.866,0.0,top
D62,~,D_SMA,113.332,-29.866,180.0,top
D71,~,D_SMA,135.698,-29.866,0.0,top
D72,~,D_SMA,128.332,-29.866,180.0,top
D81,~,D_SMA,150.698,-29.866,0.0,top
D82,~,D_SMA,143.332,-29.866,180.0,top
J11,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",147.0,-70.1925,0.0,top
J21,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",132.0,-70.1925,0.0,top
J31,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",117.0,-70.1925,0.0,top
J41,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",102.0,-70.1925,0.0,top
J51,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",102.0,-25.0,180.0,top
J61,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",117.0,-25.0,180.0,top
J62,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",179.8205,-47.951,90.0,top
J71,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",132.0,-25.0,180.0,top
J81,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",147.0,-25.0,180.0,top
Q11,TM10N06SI,SOT-89-3,142.586,-60.6275,0.0,top
Q12,TM10N06SI,SOT-89-3,151.384,-60.6275,180.0,top
Q1501,NPN_TOR,SOT-23,180.64,-36.6755,180.0,top
Q1502,NPN_TOR,SOT-23,180.592,-32.473,180.0,top
Q1503,NPN_TOR,SOT-23,180.579,-28.4505,180.0,top
Q21,TM10N06SI,SOT-89-3,127.586,-60.6275,0.0,top
Q22,TM10N06SI,SOT-89-3,136.384,-60.6275,180.0,top
Q31,TM10N06SI,SOT-89-3,112.586,-60.6275,0.0,top
