Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,22.479,-98.425,180.0,top
C2,22uF,C_1206_3216Metric,60.198,-95.123,-90.0,top
C3,22uF,C_1206_3216Metric,62.865,-95.123,-90.0,top
C4,22uF,C_1206_3216Metric,65.532,-95.123,-90.0,top
C5,22uF,C_1206_3216Metric,68.199,-95.123,-90.0,top
C6,22uF,C_1206_3216Metric,77.47,-94.996,-90.0,top
C7,22uF,C_1206_3216Metric,80.137,-94.996,-90.0,top
C8,22uF,C_1206_3216Metric,82.804,-94.996,-90.0,top
C9,22uF,C_1206_3216Metric,85.471,-94.996,-90.0,top
D1,1N4148WS,D_SOD-323,20.066,-93.98,0.0,top
D10,LED,LED_0805_2012Metric,89.0,-95.0,90.0,top
D11,LED,LED_0805_2012Metric,105.0,-95.0,90.0,top
D12,LED,LED_0805_2012Metric,121.0,-95.0,90.0,top
D13,LED,LED_0805_2012Metric,137.0,-95.0,90.0,top
D14,LED,LED_0805_2012Metric,153.0,-95.0,90.0,top
D15,LED,LED_0805_2012Metric,169.0,-95.0,90.0,top
D16,LED,LED_0805_2012Metric,185.0,-95.0,90.0,top
D17,LED,LED_0805_2012Metric,201.0,-95.0,90.0,top
D2,1N4148WS,D_SOD-323,20.066,-96.012,0.0,top
D3,1N4148WS,D_SOD-323,22.733,-92.295,90.0,top
D4,1N4148WS,D_SOD-323,22.733,-95.724,-90.0,top
D5,1N4148WS,D_SOD-323,49.48,-93.853,0.0,top
D6,LED,LED_0805_2012Metric,25.146,-94.996,90.0,top
D7,LED,LED_0805_2012Metric,41.0,-95.0,90.0,top
D8,LED,LED_0805_2012Metric,57.0,-95.0,90.0,top
D9,LED,LED_0805_2012Metric,73.0,-95.0,90.0,top
R1,100R,R_0805_handsolder-smalltext,49.387,-96.012,180.0,top
R2,100R,R_0603_smalltext,40.005,-91.44,0.0,top
R3,10R,R_0603_smalltext,27.178,-91.313,180.0,top
R4,10R,R_0603_smalltext,70.739,-92.583,-90.0,top
R5,10R,R_0603_smalltext,117.475,-93.3215,-90.0,top
R6,10R,R_0603_smalltext,165.989,-93.3215,-90.0,top
RV1,500R,Potentiometer_Bourns_TC33X_Vertical,44.95,-92.5,0.0,top
U1,LM317_TO-252,TO-252-2,33.528,-95.885,0.0,top
