Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,100nF,C_0402_1005Metric,141.605,-108.966,90.0,top
C201,100nF,C_0402_1005Metric,160.917,-103.659,0.0,top
C9,330nF,C_0603_1608Metric,141.605,-106.299,-90.0,top
D401,1N4148WS,D_SOD-323,140.631,-103.724,0.0,top
D402,1N4148WS,D_SOD-323,140.699,-110.963,180.0,top
D403,1N4148WS,D_SOD-323,137.329,-103.724,180.0,top
D404,1N4148WS,D_SOD-323,137.397,-110.963,0.0,top
Q501,BC847BS,SOT-363_SC-70-6,163.772,-106.946,180.0,top
Q601,BC847BS,SOT-363_SC-70-6,163.772,-109.878,0.0,top
R2,26k,R_0402_1005Metric,151.079,-109.608,0.0,top
R201,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,158.631,-109.501,180.0,top
R3,10k,R_0402_1005Metric,151.079,-110.836,180.0,top
R501,1k,R_0402_1005Metric,160.917,-105.691,0.0,top
R502,1k,R_0402_1005Metric,160.917,-104.675,0.0,top
R601,1k,R_0402_1005Metric,160.917,-106.707,0.0,top
R602,1k,R_0402_1005Metric,160.917,-107.723,0.0,top
SW201,default_switch,default_switch,128.786,-107.596,-90.0,top
U201,ATtiny85-20S,SOIC-8W_5.3x5.3mm_P1.27mm,155.016,-105.818,270.0,top
U401,L78L05_SOT89,SOT-89-3,146.177,-105.745,90.0,top
