Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,44.775,-115.0,0.0,top
C3,220uF,C_Elec_8x10.2,30.0,-122.0,180.0,top
D1,1N4148WS,D_SOD-323,47.05,-119.0,0.0,top
D10,LED,LED_0805_2012Metric,73.0,-119.0,180.0,top
D11,LED,LED_0805_2012Metric,93.0,-119.0,180.0,top
D12,LED,LED_0805_2012Metric,108.5,-131.0,0.0,top
D13,LED,LED_0805_2012Metric,112.9375,-119.0,180.0,top
D14,LED,LED_0805_2012Metric,135.5,-119.0,180.0,top
D15,LED,LED_0805_2012Metric,153.5625,-119.0,0.0,top
D16,LED,LED_0805_2012Metric,153.5,-131.0,180.0,top
D17,LED,LED_0805_2012Metric,175.0,-119.0,180.0,top
D18,LED,LED_0805_2012Metric,196.5,-119.0,0.0,top
D19,LED,LED_0805_2012Metric,198.5,-131.0,180.0,top
D2,1N4148WS,D_SOD-323,47.0,-117.0,0.0,top
D20,LED,LED_0805_2012Metric,214.5,-119.0,180.0,top
D21,LED,LED_0805_2012Metric,235.0,-119.0,180.0,top
D22,LED,LED_0805_2012Metric,243.5,-131.0,180.0,top
D23,LED,LED_0805_2012Metric,259.5,-119.0,90.0,top
D3,1N4148WS,D_SOD-323,43.05,-119.0,0.0,top
D4,1N4148WS,D_SOD-323,43.0,-117.0,0.0,top
D5,1N4148WS,D_SOD-323,37.0,-117.55,-90.0,top
D6,LED,LED_0805_2012Metric,19.5,-119.0,-90.0,top
D7,LED,LED_0805_2012Metric,34.5,-113.0,180.0,top
D8,LED,LED_0805_2012Metric,53.0625,-119.0,180.0,top
D9,LED,LED_0805_2012Metric,66.0,-131.0,180.0,top
R1,100R,R_0805_handsolder-smalltext,39.5,-117.5,90.0,top
R2,100R,R_0603_smalltext,50.0,-117.9125,90.0,top
R3,10R,R_0603_smalltext,21.5,-119.0,-90.0,top
R4,10R,R_0603_smalltext,56.4375,-131.0,0.0,top
R5,10R,R_0603_smalltext,112.5,-131.0,180.0,top
R6,10R,R_0603_smalltext,157.607,-118.999,180.0,top
R7,10R,R_0603_smalltext,200.5565,-118.872,180.0,top
R8,10R,R_0603_smalltext,231.0,-119.0,0.0,top
RV1,500R,Potentiometer_Bourns_TC33X_Vertical,39.597,-113.792,180.0,top
