Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,76.292,-111.888592,90.0,top
C202,100nF,C_0402_1005Metric,78.714589,-108.882181,135.0,top
C203,12pF,C_0603_1608Metric,79.054,-114.809592,0.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,92.131,-119.5645,90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.987,-119.538,90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.677,-114.554,-90.0,top
D1,D,D_SOD-323,75.578,-93.718,-90.0,top
D1001,1N4148WS,D_SOD-323,69.5635,-97.712907,180.0,top
D1101,1N4148WS,D_SOD-323,69.5635,-87.712907,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,62.977,-125.5035,0.0,top
D202,1N4148WS,D_SOD-323,96.0365,-87.590907,0.0,top
D301,MB10S,TO-269AA,77.276,-118.737,0.0,top
D302,1N4148WS,D_SOD-323,96.0365,-97.590907,0.0,top
D401,1N4148WS,D_SOD-323,96.0365,-107.590907,0.0,top
D501,1N4148WS,D_SOD-323,96.0365,-117.590907,0.0,top
D801,1N4148WS,D_SOD-323,69.5635,-117.712907,180.0,top
D901,1N4148WS,D_SOD-323,69.5635,-107.712907,180.0,top
J101,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",54.4325,-116.055,-90.0,top
J102,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",114.5,-99.0,90.0,top
J103,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",51.195,-99.0,-90.0,top
J701,FEMALE,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",82.75,-84.5,180.0,top
K1001,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,62.5,-97.651907,180.0,top
K1101,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,62.5,-87.651907,180.0,top
K201,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,103.1,-87.651907,0.0,top
K301,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,103.1,-97.651907,0.0,top
K401,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,103.1,-107.651907,0.0,top
K501,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,103.1,-117.651907,0.0,top
K801,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,62.5,-117.651907,180.0,top
K901,G6K-2F-Y-TR DC12,Relay_DPDT_Omron_G6K-2F-Y,62.5,-107.651907,180.0,top
Q1001,NPN_TOR,SOT-23,69.9445,-100.633907,90.0,top
Q1101,NPN_TOR,SOT-23,69.9445,-90.633907,90.0,top
Q201,NPN_TOR,SOT-23,95.6555,-84.669907,270.0,top
Q301,NPN_TOR,SOT-23,95.6555,-94.669907,270.0,top
Q401,NPN_TOR,SOT-23,95.6555,-104.669907,270.0,top
Q501,NPN_TOR,SOT-23,95.6555,-114.669907,270.0,top
Q801,NPN_TOR,SOT-23,69.9445,-120.633907,90.0,top
Q901,NPN_TOR,SOT-23,69.9445,-110.633907,90.0,top
R1001,100R,R_0603_smalltext,69.612,-95.873907,180.0,top
R1002,1k,R_0603_smalltext,69.5885,-94.095907,0.0,top
R1101,100R,R_0603_smalltext,69.612,-85.873907,180.0,top
R1102,1k,R_0603_smalltext,69.5885,-84.095907,0.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.0875,-127.4945,0.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,99.0,-80.391,0.0,top
R203,100R,R_0603_smalltext,95.988,-89.429907,0.0,top
R204,1k,R_0603_smalltext,96.0115,-91.207907,180.0,top
R3,10k,R_0603_smalltext,89.802,-89.781,-90.0,top
R301,100R,R_0603_smalltext,95.988,-99.429907,0.0,top
R302,1k,R_0603_smalltext,96.0115,-101.207907,180.0,top
R4,10k,R_0603_smalltext,89.802,-93.972,-90.0,top
R401,100R,R_0603_smalltext,95.988,-109.429907,0.0,top
R402,1k,R_0603_smalltext,96.0115,-111.207907,180.0,top
R5,1k5,R_0603_smalltext,75.578,-90.035,-90.0,top
R501,100R,R_0603_smalltext,95.988,-119.429907,0.0,top
R502,1k,R_0603_smalltext,96.0115,-121.207907,180.0,top
R801,100R,R_0603_smalltext,69.612,-115.873907,180.0,top
R802,1k,R_0603_smalltext,69.5885,-114.095907,0.0,top
R901,100R,R_0603_smalltext,69.612,-105.873907,180.0,top
R902,1k,R_0603_smalltext,69.5885,-104.095907,0.0,top
SW601,default_switch,default_switch,70.0,-125.349,0.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,82.524,-104.258592,315.0,top
U3,6N137,SOP-8_6.62x9.15mm_P2.54mm,82.737,-92.321,270.0,top
U301,AMS1117-5.0,SOT-223-3_TabPin2,87.563,-116.959,270.0,top
Y201,Crystal_GND2,crystal_arduino,78.993,-111.931592,-90.0,top
