Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1001,100nF,C_0603_1608Metric,117.348,-114.935,0.0,top
C201,12pF,C_0603_1608Metric,124.206695,-120.201,-90.0,top
C202,100nF,C_0402_1005Metric,121.784106,-123.207411,-45.0,top
C203,12pF,C_0603_1608Metric,121.444695,-117.28,180.0,top
C401,1000uF,CP_Elec_8x10.5,106.934,-154.686,0.0,top
C402,22uF,C_0603_1608Metric,111.252,-162.56,0.0,top
C901,22uF,C_0603_1608Metric,123.0475,-146.223,180.0,top
C902,100nF,C_0402_1005Metric,125.6865,-145.715,0.0,top
C903,22nF,C_0402_1005Metric,125.6865,-146.858,0.0,top
C904,22uF,C_0603_1608Metric,120.2535,-140.62,0.0,top
C905,22uF,C_0603_1608Metric,120.2535,-142.286,0.0,top
C906,100nF,C_0402_1005Metric,120.2555,-139.238,0.0,top
D1001,1N4148WS,D_SOD-323,134.517,-125.425,0.0,top
D1101,SS53,D_SMA,112.0,-119.8015,180.0,top
D1102,SS53,D_SMA,104.5,-119.8515,180.0,top
D1103,SS53,D_SMA,112.0,-115.8515,180.0,top
D1104,SS53,D_SMA,104.5,-115.8515,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.585,-172.339,-90.0,top
D401,1N4148WS,D_SOD-323,111.506,-160.528,0.0,top
J1001,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,105.485,-134.77,-90.0,top
J101,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",120.099,-110.0,180.0,top
J701,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,135.587,-134.539,90.0,top
J801,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,135.46,-145.27,90.0,top
J901,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,105.485,-145.27,-90.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,123.825,-152.273,180.0,top
R1001,1k,R_0603_smalltext,130.834,-125.298,0.0,top
R1002,10k,R_0603_smalltext,131.088,-110.82,0.0,top
R1003,10k,R_0603_smalltext,134.898,-110.82,0.0,top
R1004,10k,R_0603_smalltext,107.102,-130.6975,180.0,top
R1005,10k,R_0603_smalltext,107.102,-138.8255,180.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.887,-174.879,180.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.287,-125.603,-90.0,top
R701,10k,R_0603_smalltext,133.97,-138.6115,0.0,top
R702,10k,R_0603_smalltext,133.97,-130.4835,0.0,top
R801,10k,R_0603_smalltext,133.843,-149.3425,0.0,top
R802,10k,R_0603_smalltext,133.843,-141.2145,0.0,top
R901,220k,R_0603_1608Metric,121.2695,-134.412,0.0,top
R902,20k,R_0603_1608Metric,124.4445,-135.555,0.0,top
R903,150k,R_0603_1608Metric,121.2695,-136.063,180.0,top
R904,10k,R_0603_smalltext,107.102,-141.1975,180.0,top
R905,10k,R_0603_smalltext,107.102,-149.3255,180.0,top
SW601,SW_Push,tactile_SMD_6mm,112.950527,-169.035805,90.0,top
SW602,SW_Push,tactile_SMD_6mm,121.459527,-162.685805,0.0,top
SW603,SW_Push,tactile_SMD_6mm,121.459527,-169.670805,0.0,top
SW604,SW_Push,tactile_SMD_6mm,130.020527,-169.067805,90.0,top
SW605,SW_Push,tactile_SMD_6mm,133.270527,-159.891805,0.0,top
U1001,6N137,SOP-8_6.62x9.15mm_P2.54mm,133.27,-117.975,0.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,117.974695,-127.831,135.0,top
U901,MT2499A,TI_SO-PowerPAD-8,124.6985,-140.9835,90.0,top
Y201,Crystal_GND2,crystal_arduino,121.505695,-120.158,90.0,top
