Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Elec_6.3x7.7,145.288,-95.102,270.0,top
C2,2200uF,CP_Elec_18x17.5,174.5,-117.5,0.0,top
C3,2200uF,CP_Elec_18x17.5,150.0,-117.5,180.0,top
D1,D,D_SMA,177.927,-94.0,90.0,top
D2,D,D_SMA,174.117,-93.992,-90.0,top
D3,D,D_SMA,177.927,-101.421,-90.0,top
D4,D,D_SMA,174.117,-101.421,90.0,top
D5,D,D_SMA,174.5,-130.0,0.0,top
D6,D,D_SMA,150.5,-130.0,180.0,top
Q1,NPN_TOR,SOT-23,150.368,-105.549,270.0,top
Q2,NPN_TOR,SOT-23,157.226,-103.533,270.0,top
Q3,NPN_TOR,SOT-23,161.29,-103.533,270.0,top
R1,10k,R_0805_handsolder-smalltext,151.638,-93.484,0.0,top
R2,10k,R_0805_handsolder-smalltext,151.511,-91.325,180.0,top
R3,10k,R_0805_handsolder-smalltext,150.368,-102.628,180.0,top
R4,1k,R_0805_handsolder-smalltext,154.051,-103.533,90.0,top
R5,1R,R_0805_handsolder-smalltext,164.465,-103.533,90.0,top
R6,1R,R_0805_handsolder-smalltext,166.497,-103.533,90.0,top
R7,1R,R_0805_handsolder-smalltext,168.529,-103.533,90.0,top
R8,1R,R_0805_handsolder-smalltext,170.561,-103.533,90.0,top
RV1,100k,Potentiometer_Bourns_3314J_Vertical,151.638,-98.056,180.0,top
U1,LMV358,SOP-8_5.28x5.23mm_P1.27mm,143.256,-103.263,90.0,top
