Comment,Designator,Footprint,LCSC
Screw_Terminal_01x03,"J12,J5,J6,J9","PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",C192778
Screw_Terminal_01x03,"J11,J3,J4,J8","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",C22380440
Screw_Terminal_01x03,"J1,J10,J2,J7",connector_3.50mm_3P horizontal_MALE,C6394074
470R,R502,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R501,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R402,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R401,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R302,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R301,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R202,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
470R,R201,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
G5V-1,K502,Relay_SPDT_Omron_G5V-1,
G5V-1,K501,Relay_SPDT_Omron_G5V-1,
G5V-1,K402,Relay_SPDT_Omron_G5V-1,
G5V-1,K401,Relay_SPDT_Omron_G5V-1,
G5V-1,K302,Relay_SPDT_Omron_G5V-1,
G5V-1,K301,Relay_SPDT_Omron_G5V-1,
G5V-1,K202,Relay_SPDT_Omron_G5V-1,
G5V-1,K201,Relay_SPDT_Omron_G5V-1,
