Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,65.414305,-74.327103,180.0,top
C101,100nF,C_0402_1005Metric,54.111305,-63.278103,-135.0,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,67.954305,-71.914103,90.0,top
C3,100nF,C_0402_1005Metric,62.239305,-72.295103,-135.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.890305,-83.725103,90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,55.000305,-78.264103,-90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,54.619305,-82.836103,90.0,top
C501,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,58.953305,-50.824103,0.0,top
D1,D,D_SOD-323,66.581305,-91.427103,90.0,top
D11,SS34,D_SMA,74.815805,-48.707103,-90.0,top
D12,~,D_SMA,74.815805,-41.405103,90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68.998714,-102.019808,90.0,top
D21,SS34,D_SMA,74.815805,-63.707103,-90.0,top
D22,~,D_SMA,74.815805,-56.405103,90.0,top
D301,MB10S,TO-269AA,59.207305,-57.809103,180.0,top
D31,SS34,D_SMA,74.815805,-78.707103,-90.0,top
D32,~,D_SMA,74.815805,-71.405103,90.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,66.839714,-102.019808,90.0,top
D41,SS34,D_SMA,74.815805,-93.707103,-90.0,top
D42,~,D_SMA,74.815805,-86.405103,90.0,top
D501,SS53,D_SMA,55.700305,-48.072603,0.0,top
D502,SS53,D_SMA,63.200305,-48.072603,180.0,top
D503,SS53,D_SMA,63.200305,-44.572603,0.0,top
D504,SS53,D_SMA,55.700305,-44.572603,180.0,top
D51,SS34,D_SMA,45.101805,-86.405103,90.0,top
D52,~,D_SMA,45.101805,-93.707103,-90.0,top
D61,SS34,D_SMA,45.101805,-71.405103,90.0,top
D62,~,D_SMA,45.101805,-78.707103,-90.0,top
D71,SS34,D_SMA,45.101805,-56.405103,90.0,top
D72,~,D_SMA,45.101805,-63.707103,-90.0,top
D81,SS34,D_SMA,45.101805,-41.405103,90.0,top
D82,~,D_SMA,45.101805,-48.707103,-90.0,top
J11,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",79.006805,-45.001103,90.0,top
J21,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",79.006805,-60.001103,90.0,top
J31,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",79.006805,-75.001103,90.0,top
J41,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",79.006805,-90.056103,90.0,top
J51,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",40.910805,-90.056103,-90.0,top
J61,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",40.910805,-75.056103,-90.0,top
J62,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",59.660305,-39.151603,180.0,top
J71,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",40.910805,-60.056103,-90.0,top
J81,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",40.910805,-45.001103,-90.0,top
Q11,AO3400A,SOT-23,70.878805,-50.263103,270.0,top
Q12,AO3400A,SOT-23,70.878805,-39.849103,270.0,top
Q21,AO3400A,SOT-23,70.878805,-65.263103,270.0,top
Q22,AO3400A,SOT-23,70.878805,-54.849103,270.0,top
Q31,AO3400A,SOT-23,70.878805,-80.263103,270.0,top
Q32,AO3400A,SOT-23,70.878805,-69.849103,270.0,top
Q41,AO3400A,SOT-23,70.878805,-95.263103,270.0,top
Q42,AO3400A,SOT-23,70.878805,-84.849103,270.0,top
Q51,AO3400A,SOT-23,49.038805,-84.849103,90.0,top
Q52,AO3400A,SOT-23,49.038805,-95.263103,90.0,top
Q61,AO3400A,SOT-23,49.038805,-69.849103,90.0,top
Q62,AO3400A,SOT-23,49.038805,-80.263103,90.0,top
Q71,AO3400A,SOT-23,49.038805,-54.849103,90.0,top
Q72,AO3400A,SOT-23,49.038805,-65.263103,90.0,top
Q81,AO3400A,SOT-23,49.038805,-39.849103,90.0,top
Q82,AO3400A,SOT-23,49.038805,-50.263103,90.0,top
R1,10k,R_0603_smalltext,68.252305,-99.131103,0.0,top
R101,0R1,R_1206_3216Metric,54.746305,-51.586103,0.0,top
R102,0R1,R_1206_3216Metric,54.746305,-53.872103,0.0,top
R103,0R1,R_1206_3216Metric,65.094805,-54.134103,180.0,top
R104,0R1,R_1206_3216Metric,65.094805,-51.848103,180.0,top
