Comment,Designator,Footprint,LCSC
Screw_Terminal_01x03,"J202,J302,J402,J502","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",C22380440
Screw_Terminal_01x03,"J201,J301,J401,J501",connector_3.50mm_3P horizontal_MALE,C6394074
22k,R502,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R501,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R402,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R401,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R302,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R301,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R202,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
22k,R201,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
BD679,Q502,TO-126-3_Vertical,
BD679,Q501,TO-126-3_Vertical,
BD679,Q402,TO-126-3_Vertical,
BD679,Q401,TO-126-3_Vertical,
BD679,Q302,TO-126-3_Vertical,
BD679,Q301,TO-126-3_Vertical,
BD679,Q202,TO-126-3_Vertical,
BD679,Q201,TO-126-3_Vertical,
1N4001,D502,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D501,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D402,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D401,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D302,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D301,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D202,D_DO-41_SOD81_P10.16mm_Horizontal,
1N4001,D201,D_DO-41_SOD81_P10.16mm_Horizontal,
