Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1101,100nF,C_0402_1005Metric,225.399,-67.76,-90.0,top
C201,12pF,C_0603_1608Metric,233.155,-74.227,-90.0,top
C202,100nF,C_0402_1005Metric,230.732411,-77.233411,-45.0,top
C203,12pF,C_0603_1608Metric,230.393,-71.306,180.0,top
C301,470nF,C_0805_2012Metric,205.587,-69.538,0.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,205.46,-60.013,0.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,206.222,-57.854,0.0,top
C701,10uF,C_0603_1608Metric,230.607,-56.9995,90.0,top
C702,100nF,C_0603_1608Metric,230.607,-60.0475,-90.0,top
C703,22pF,C_0603_1608Metric,238.134,-65.4585,-90.0,top
C704,22pF,C_0603_1608Metric,243.307,-65.3815,90.0,top
C705,100nF,C_0402_1005Metric,236.703,-64.7465,90.0,top
C706,100nF,C_0603_1608Metric,235.179,-65.3815,-90.0,top
C901,22uF,C_0603_1608Metric,176.596908,-80.202091,180.0,top
C902,100nF,C_0402_1005Metric,179.235908,-79.694091,0.0,top
C903,22nF,C_0402_1005Metric,179.235908,-80.837091,0.0,top
C904,22uF,C_0603_1608Metric,173.802908,-74.599091,0.0,top
C905,22uF,C_0603_1608Metric,173.802908,-76.265091,0.0,top
C906,100nF,C_0402_1005Metric,173.804908,-73.217091,0.0,top
D1001,1N4148WS,D_SOD-323,181.711,-62.426,-90.0,top
D1002,SM4007,D_SOD-123F,195.838,-105.132,-90.0,top
D1101,SS53,D_SMA,222.803,-66.259,90.0,top
D1102,SS53,D_SMA,222.803,-58.743,90.0,top
D1103,SS53,D_SMA,219.303,-66.259,90.0,top
D1104,SS53,D_SMA,219.303,-58.743,90.0,top
D1301,SM4007,D_SOD-123F,199.338,-105.132,-90.0,top
D1401,SM4007,D_SOD-123F,202.838,-105.132,-90.0,top
D1501,SM4007,D_SOD-123F,206.338,-105.132,-90.0,top
D1601,SM4007,D_SOD-123F,209.838,-105.132,-90.0,top
D1701,SM4007,D_SOD-123F,213.338,-105.132,-90.0,top
D1801,SM4007,D_SOD-123F,216.838,-105.132,-90.0,top
D1901,SM4007,D_SOD-123F,220.338,-105.132,-90.0,top
D2001,SM4007,D_SOD-123F,223.838,-105.132,-90.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.418,-44.9,-90.0,top
D202,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,189.006,-44.9,-90.0,top
D203,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.212,-44.9,-90.0,top
D2101,SM4007,D_SOD-123F,227.338,-105.132,-90.0,top
D2201,SM4007,D_SOD-123F,230.838,-105.132,-90.0,top
D2301,SM4007,D_SOD-123F,234.338,-105.132,-90.0,top
D301,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.497,-44.9,-90.0,top
D601,SM4007,D_SOD-123F,185.338,-105.132,-90.0,top
D701,SM4007,D_SOD-123F,188.838,-105.132,-90.0,top
D801,SM4007,D_SOD-123F,181.838,-105.132,-90.0,top
D901,SM4007,D_SOD-123F,192.338,-105.132,-90.0,top
J101,FEMALE,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",220.926,-47.567,180.0,top
J1101,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",174.825,-117.6595,0.0,top
J501,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",240.54,-117.6595,0.0,top
J702,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,238.8955,-45.8875,180.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,177.231908,-86.044091,180.0,top
Q1001,AO3400A,SOT-23,195.393,-109.924,0.0,top
Q1301,AO3400A,SOT-23,198.893,-109.924,0.0,top
Q1401,AO3400A,SOT-23,202.393,-109.924,0.0,top
Q1501,AO3400A,SOT-23,205.893,-109.924,0.0,top
Q1601,AO3400A,SOT-23,209.393,-109.924,0.0,top
Q1701,AO3400A,SOT-23,212.893,-109.924,0.0,top
Q1801,AO3400A,SOT-23,216.393,-109.924,0.0,top
Q1901,AO3400A,SOT-23,219.893,-109.924,0.0,top
Q2001,AO3400A,SOT-23,223.393,-109.924,0.0,top
Q2101,AO3400A,SOT-23,226.893,-109.924,0.0,top
Q2201,AO3400A,SOT-23,230.393,-109.924,0.0,top
Q2301,AO3400A,SOT-23,233.893,-109.924,0.0,top
Q601,AO3400A,SOT-23,184.893,-109.924,0.0,top
