Comment,Designator,Footprint,LCSC
100nF,C101,C_0603_1608Metric,C14663
10k,"R101,R102,R103,R201,R301,R401,R501,R601,R701,R801,R901",R_0603_smalltext,C25804
3k3,"R202,R203,R302,R303,R402,R403,R502,R503,R602,R603,R702,R703,R802,R803,R902,R903",R_0805_handsolder-smalltext,C26010
PCF8574A,U101,SOP-16_4.55x10.3mm_P1.27mm,C2987288
Screw_Terminal_01x02,J901,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J801,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J701,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J601,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J501,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J401,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J301,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
Screw_Terminal_01x02,J201,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,
SW_DPDT_x2,SW901,MTS_DPDT,
SW_DPDT_x2,SW801,MTS_DPDT,
SW_DPDT_x2,SW701,MTS_DPDT,
SW_DPDT_x2,SW601,MTS_DPDT,
SW_DPDT_x2,SW501,MTS_DPDT,
SW_DPDT_x2,SW401,MTS_DPDT,
SW_DPDT_x2,SW301,MTS_DPDT,
SW_DPDT_x2,SW201,MTS_DPDT,
OUT,J102,PinHeader_1x04_P2.54mm_Horizontal,
IN,J101,PinSocket_1x04_P2.54mm_Horizontal,
LED,D902,LED_D3.0mm,
LED,D901,LED_D3.0mm,
LED,D802,LED_D3.0mm,
LED,D801,LED_D3.0mm,
LED,D702,LED_D3.0mm,
LED,D701,LED_D3.0mm,
LED,D602,LED_D3.0mm,
LED,D601,LED_D3.0mm,
LED,D502,LED_D3.0mm,
LED,D501,LED_D3.0mm,
LED,D402,LED_D3.0mm,
LED,D401,LED_D3.0mm,
LED,D302,LED_D3.0mm,
LED,D301,LED_D3.0mm,
LED,D202,LED_D3.0mm,
LED,D201,LED_D3.0mm,
