Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100nF,C_0603_1608Metric,167.132,-105.791,180.0,top
D201,LED,LED_D3.0mm,123.368,-87.751,0.0,top
D202,LED,LED_D3.0mm,118.288,-87.749,0.0,top
D301,LED,LED_D3.0mm,138.368,-87.751,0.0,top
D302,LED,LED_D3.0mm,133.288,-87.749,0.0,top
D401,LED,LED_D3.0mm,153.368,-87.751,0.0,top
D402,LED,LED_D3.0mm,148.288,-87.749,0.0,top
D501,LED,LED_D3.0mm,107.54,-112.519,0.0,top
D502,LED,LED_D3.0mm,102.46,-112.517,0.0,top
D601,LED,LED_D3.0mm,122.54,-112.519,0.0,top
D602,LED,LED_D3.0mm,117.46,-112.517,0.0,top
D701,LED,LED_D3.0mm,137.54,-112.519,0.0,top
D702,LED,LED_D3.0mm,132.46,-112.517,0.0,top
D801,LED,LED_D3.0mm,152.54,-112.519,0.0,top
D802,LED,LED_D3.0mm,147.46,-112.517,0.0,top
D901,LED,LED_D3.0mm,107.556,-88.039,0.0,top
D902,LED,LED_D3.0mm,102.476,-88.037,0.0,top
J101,IN,PinSocket_1x04_P2.54mm_Horizontal,159.766,-93.091,180.0,top
J102,OUT,PinHeader_1x04_P2.54mm_Horizontal,94.361,-93.091,180.0,top
J201,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,117.602,-121.285,0.0,top
J301,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,127.762,-121.285,0.0,top
J401,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,137.922,-121.285,0.0,top
J501,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,112.522,-121.285,0.0,top
J601,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,122.682,-121.285,0.0,top
J701,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,132.842,-121.285,0.0,top
J801,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,143.002,-121.285,0.0,top
J901,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,107.442,-121.285,0.0,top
R101,10k,R_0603_smalltext,162.179,-105.029,180.0,top
R102,10k,R_0603_smalltext,162.052,-102.616,180.0,top
R103,10k,R_0603_smalltext,162.052,-100.457,180.0,top
R201,10k,R_0603_smalltext,120.587,-71.269,0.0,top
R202,3k3,R_0805_handsolder-smalltext,126.797,-87.749,90.0,top
R203,3k3,R_0805_handsolder-smalltext,114.761,-87.878,90.0,top
R301,10k,R_0603_smalltext,135.587,-71.269,0.0,top
R302,3k3,R_0805_handsolder-smalltext,141.797,-87.749,90.0,top
R303,3k3,R_0805_handsolder-smalltext,129.761,-87.878,90.0,top
R401,10k,R_0603_smalltext,150.587,-71.269,0.0,top
R402,3k3,R_0805_handsolder-smalltext,156.797,-87.749,90.0,top
R403,3k3,R_0805_handsolder-smalltext,144.761,-87.878,90.0,top
R501,10k,R_0603_smalltext,104.759,-96.037,0.0,top
R502,3k3,R_0805_handsolder-smalltext,110.969,-112.517,90.0,top
R503,3k3,R_0805_handsolder-smalltext,98.933,-112.646,90.0,top
R601,10k,R_0603_smalltext,119.759,-96.037,0.0,top
R602,3k3,R_0805_handsolder-smalltext,125.969,-112.517,90.0,top
R603,3k3,R_0805_handsolder-smalltext,113.933,-112.646,90.0,top
R701,10k,R_0603_smalltext,134.759,-96.037,0.0,top
R702,3k3,R_0805_handsolder-smalltext,140.969,-112.517,90.0,top
R703,3k3,R_0805_handsolder-smalltext,128.933,-112.646,90.0,top
R801,10k,R_0603_smalltext,149.759,-96.037,0.0,top
R802,3k3,R_0805_handsolder-smalltext,155.969,-112.517,90.0,top
R803,3k3,R_0805_handsolder-smalltext,143.933,-112.646,90.0,top
R901,10k,R_0603_smalltext,104.775,-71.557,0.0,top
R902,3k3,R_0805_handsolder-smalltext,110.985,-88.037,90.0,top
R903,3k3,R_0805_handsolder-smalltext,98.949,-88.166,90.0,top
SW201,SW_DPDT_x2,MTS_DPDT,120.828,-78.832,90.0,top
SW301,SW_DPDT_x2,MTS_DPDT,135.828,-78.832,90.0,top
SW401,SW_DPDT_x2,MTS_DPDT,150.828,-78.832,90.0,top
SW501,SW_DPDT_x2,MTS_DPDT,105.0,-103.6,90.0,top
SW601,SW_DPDT_x2,MTS_DPDT,120.0,-103.6,90.0,top
SW701,SW_DPDT_x2,MTS_DPDT,135.0,-103.6,90.0,top
SW801,SW_DPDT_x2,MTS_DPDT,150.0,-103.6,90.0,top
SW901,SW_DPDT_x2,MTS_DPDT,105.016,-79.12,90.0,top
U101,PCF8574A,SOP-16_4.55x10.3mm_P1.27mm,164.5,-112.0,270.0,top
