Comment,Designator,Footprint,LCSC
470R,"R10,R11,R12,R13,R14,R9",R_0805_handsolder-smalltext,C17710
1k,"R5,R7,R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C21190
NPN_TOR,"Q1,Q2",TO-92_Horizontal1,C2145
150k,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C22807
220k,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C22961
10k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C25804
47k,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C25819
100nF,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,C307331
22k,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C31850
LM311,U1,DIP-8_W7.62mm,C434495
SM4007,"D1,D2",D_T-1_P5.08mm_Horizontal,C64898
SW_Push,SW5,SW_PUSH_6mm_H4.3mm,
LCD-16X2,U3,LCD-16X2_NOSILK,
LED,D3,LED_D3.0mm,
LED,D4,LED_D3.0mm,
R_Potentiometer,RV1,Potentiometer_Runtron_RM-065_Vertical,
LED,D8,LED_D3.0mm,
LED,D5,LED_D3.0mm,
LED,D7,LED_D3.0mm,
SW_Push,SW3,SW_PUSH_6mm_H4.3mm,
SW_Push,SW6,SW_PUSH_6mm_H4.3mm,
SW_Push,SW2,SW_PUSH_6mm_H4.3mm,
LED,D6,LED_D3.0mm,
SW_Push,SW4,SW_PUSH_6mm_H4.3mm,
SW_Push,SW1,SW_PUSH_6mm_H4.3mm,
RJ12,J1,RJ12,
Arduino_UNO_R3,A1,Arduino_UNO_R3,
RJ12,J2,RJ12,
Buck,U2,Buck,
