Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_UNO_R3,Arduino_UNO_R3,115.826,-147.955,180.0,bottom
C1,100nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,118.707,-145.644,270.0,bottom
D1,SM4007,D_T-1_P5.08mm_Horizontal,131.445,-186.563,90.0,bottom
D2,SM4007,D_T-1_P5.08mm_Horizontal,127.295,-186.563,90.0,bottom
D3,LED,LED_D3.0mm,88.5,-177.495,-90.0,top
D4,LED,LED_D3.0mm,97.0,-177.495,-90.0,top
D5,LED,LED_D3.0mm,105.5,-177.495,-90.0,top
D6,LED,LED_D3.0mm,114.5,-177.495,-90.0,top
D7,LED,LED_D3.0mm,123.0,-177.495,-90.0,top
D8,LED,LED_D3.0mm,131.5,-177.495,-90.0,top
J1,RJ12,RJ12,117.08,-188.7355,0.0,bottom
J2,RJ12,RJ12,101.61,-188.7355,0.0,bottom
Q1,NPN_TOR,TO-92_Horizontal1,85.09,-154.559,270.0,bottom
Q2,NPN_TOR,TO-92_Horizontal1,119.888,-133.223,90.0,bottom
R1,47k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,96.0,-146.19,270.0,bottom
R10,470R,R_0805_handsolder-smalltext,93.0,-177.5,270.0,bottom
R11,470R,R_0805_handsolder-smalltext,101.5,-177.5,270.0,bottom
R12,470R,R_0805_handsolder-smalltext,111.0,-177.5,270.0,bottom
R13,470R,R_0805_handsolder-smalltext,119.0,-177.5,270.0,bottom
R14,470R,R_0805_handsolder-smalltext,128.0,-177.5,270.0,bottom
R2,150k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,93.35,-146.19,90.0,bottom
R3,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,90.805,-146.177,90.0,bottom
R4,22k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,88.265,-146.177,90.0,bottom
R5,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,85.852,-146.177,90.0,bottom
R6,220k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,98.5,-146.19,90.0,bottom
R7,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,103.505,-146.304,90.0,bottom
R8,220R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,100.99,-146.177,90.0,bottom
R9,470R,R_0805_handsolder-smalltext,84.5,-177.0,270.0,bottom
RV1,R_Potentiometer,Potentiometer_Runtron_RM-065_Vertical,77.851,-178.903,180.0,top
SW1,SW_Push,SW_PUSH_6mm_H4.3mm,88.5,-165.5,90.0,top
SW2,SW_Push,SW_PUSH_6mm_H4.3mm,97.05,-165.5,90.0,top
SW3,SW_Push,SW_PUSH_6mm_H4.3mm,105.6,-165.5,90.0,top
SW4,SW_Push,SW_PUSH_6mm_H4.3mm,114.15,-165.5,90.0,top
SW5,SW_Push,SW_PUSH_6mm_H4.3mm,122.7,-165.5,90.0,top
SW6,SW_Push,SW_PUSH_6mm_H4.3mm,131.25,-165.5,90.0,top
U1,LM311,DIP-8_W7.62mm,111.877,-146.167,90.0,bottom
U2,Buck,Buck,80.75,-188.748,180.0,bottom
U3,LCD-16X2,LCD-16X2_NOSILK,108.0,-143.516,0.0,top
