Comment,Designator,Footprint,LCSC
~,C201,C_Disc_D3.0mm_W1.6mm_P2.50mm,C14663
10k,"R201,R202,R203",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C25744
MAX485E,U201,DIP-8_W7.62mm,C668206
Arduino_UNO_R3,A101,UNO_SHIELD_NEUTRAL,
RJ12,J202,RJ12,
RJ12,J201,RJ12,
D_Bridge_+-AA,D701,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
100nF,C302,C_Disc_D3.0mm_W1.6mm_P2.50mm,
Screw_Terminal_01x05,J102,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",
Screw_Terminal_01x05,J101,"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",
Conn_01x03_Male,J402,PinHeader_1x03_P2.54mm_Vertical,
33R,R601,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
1k,R103,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
33R,R501,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
D_Bridge_+-AA,D601,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
4k7,R101,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
24LC256,U302,DIP-8_W7.62mm,
100nF,C301,C_Disc_D3.0mm_W1.6mm_P2.50mm,
Conn_01x03_Male,J701,PinHeader_1x03_P2.54mm_Vertical,
1k,R102,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
EL814,U401,DIP-4_W7.62mm,
EL814,U701,DIP-4_W7.62mm,
D_Bridge_+-AA,D501,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
Conn_01x03_Male,J601,PinHeader_1x03_P2.54mm_Vertical,
EL814,U601,DIP-4_W7.62mm,
120R,R404,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
24LC256,U301,DIP-8_W7.62mm,
Conn_01x03_Male,J501,PinHeader_1x03_P2.54mm_Vertical,
33R,R401,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
D_Bridge_+-AA,D401,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
EL814,U501,DIP-4_W7.62mm,
33R,R701,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
1k,R104,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
