Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C901,100nF,C_0603_1608Metric,166.385,-109.781,-90.0,top
C902,100nF,C_0603_1608Metric,160.282,-114.233,90.0,top
D901,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.791522,-135.057718,0.0,top
J101,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,173.528,-133.675,180.0,top
J201,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,173.528,-125.675,180.0,top
J301,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,164.528,-133.675,180.0,top
J401,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,164.528,-125.675,180.0,top
J501,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,155.5,-133.675,180.0,top
J601,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,155.5,-125.675,180.0,top
J701,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.528,-133.675,180.0,top
J801,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,146.5,-125.675,180.0,top
R102,10k,R_0402_NO_SILK,174.544,-130.5,0.0,top
R202,10k,R_0402_NO_SILK,174.544,-122.5,0.0,top
R302,10k,R_0402_NO_SILK,165.544,-130.5,0.0,top
R402,10k,R_0402_NO_SILK,165.544,-122.5,0.0,top
R502,10k,R_0402_NO_SILK,156.516,-130.5,0.0,top
R602,10k,R_0402_NO_SILK,156.516,-122.5,0.0,top
R702,10k,R_0402_NO_SILK,147.544,-130.5,0.0,top
R802,10k,R_0402_NO_SILK,147.516,-122.5,0.0,top
R901,3k3,R_0603_smalltext,140.75365,-124.51822,180.0,top
U901,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,172.445,-111.979,0.0,top
U902,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,154.095,-111.976,180.0,top
