Comment,Designator,Footprint,LCSC
6N137,U901,SOP-8_6.62x9.15mm_P2.54mm,C110020
10uF,C403,C_1206_3216Metric,C13585
Crystal_GND2,Y201,crystal_arduino,C13738
CH340G,U501,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100nF,"C302,C401,C502,C506,C801",C_0603_1608Metric,C14663
ATmega328-A,U201,TQFP-32_7x7mm_P0.8mm,C14877
22n VM,C404,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1532
Conn_01x04_Socket,J701,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
22pF,"C503,C504",C_0603_1608Metric,C1653
10k,"R902,R903",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
680R,R401,R_0603_smalltext,C17798
DRV8874,U401,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,C1855818
1k,"R501,R502",R_0603_1608Metric,C21190
1N4148WS,D901,D_SOD-323,C2128
100R,R403,R_0603_smalltext,C22775
1k5,"R402,R901",R_0603_smalltext,C22843
LED,D1001,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
6k8,R1001,R_0603_smalltext,C23212
10k,R201,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,R701,R_0603_smalltext,C25804
47k,R404,R_0603_smalltext,C25819
USB_B_Mini,J501,USB_Mini-B_Lumberg_2486_01_Horizontal,C2681563
24LC256,U801,SOIC-8_3.9x4.9mm_P1.27mm,C2987263
100nF,"C202,C402,C405,C505,C701,C702",C_0402_1005Metric,C307331
default_switch,SW1001,default_switch,C318884
AMS1117-5.0,U301,SOT-223-3_TabPin2,C347223
12pF,"C201,C203",C_0603_1608Metric,C38523
Screw_Terminal_01x02,J901,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",C880572
FEMALE,J401,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C880574
Crystal,Y501,crystal_arduino,C9002
47uF,C301,C_1206_3216Metric,C96123
10uF,C501,C_0603_1608Metric,C96446
