Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,12pF,C_0603_1608Metric,226.006411,-115.232,180.0,top
C202,100nF,C_0402_1005Metric,223.0,-112.809411,-135.0,top
C203,12pF,C_0603_1608Metric,228.927411,-112.47,90.0,top
C301,47uF,C_1206_3216Metric,209.5,-112.75,90.0,top
C302,100nF,C_0603_1608Metric,199.848,-113.639,-90.0,top
C401,100nF,C_0603_1608Metric,210.947,-102.485,0.0,top
C402,100nF,C_0402_1005Metric,199.48,-97.995,180.0,top
C403,10uF,C_1206_3216Metric,199.0,-94.25,90.0,top
C404,22n VM,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,201.295,-101.088,-90.0,top
C405,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,198.882,-99.695,-90.0,top
C501,10uF,C_0603_1608Metric,186.904,-98.652,90.0,top
C502,100nF,C_0603_1608Metric,186.904,-101.7,-90.0,top
C503,22pF,C_0603_1608Metric,192.275,-107.129,-90.0,top
C504,22pF,C_0603_1608Metric,197.448,-107.052,90.0,top
C505,100nF,C_0402_1005Metric,190.844,-106.417,90.0,top
C506,100nF,C_0603_1608Metric,189.32,-107.052,-90.0,top
C701,100nF,C_0402_1005Metric,220.98,-102.231,-90.0,top
C702,100nF,C_0402_1005Metric,222.123,-102.231,-90.0,top
C801,100nF,C_0603_1608Metric,186.944,-114.042,-90.0,top
D1001,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,237.5,-115.0,180.0,top
D901,1N4148WS,D_SOD-323,253.5,-99.5,90.0,top
J401,FEMALE,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",208.945,-93.9325,180.0,top
J501,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,190.8,-92.075,180.0,top
J701,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,250.5,-90.5,90.0,top
J901,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",249.5,-111.75,90.0,top
R1001,6k8,R_0603_smalltext,237.373,-112.841,180.0,top
R201,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,241.664,-93.472,0.0,top
R401,680R,R_0603_smalltext,210.796,-98.5875,-90.0,top
R402,1k5,R_0603_smalltext,212.61,-98.5875,90.0,top
R403,100R,R_0603_smalltext,214.61,-98.5355,-90.0,top
R404,47k,R_0603_smalltext,216.61,-98.5355,90.0,top
R501,1k,R_0603_1608Metric,186.145,-107.065,-90.0,top
R502,1k,R_0603_1608Metric,187.669,-107.065,90.0,top
R701,10k,R_0603_smalltext,226.187,-104.263,0.0,top
R901,1k5,R_0603_smalltext,253.348,-103.124,90.0,top
R902,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,244.521,-106.934,180.0,top
R903,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,232.029,-105.283,180.0,top
SW1001,default_switch,default_switch,232.791,-112.014,90.0,top
U201,ATmega328-A,TQFP-32_7x7mm_P0.8mm,218.376411,-109.0,45.0,top
U301,AMS1117-5.0,SOT-223-3_TabPin2,204.42,-110.718,270.0,top
U401,DRV8874,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,205.6626,-99.875,90.0,top
U501,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,193.0,-101.0,0.0,top
U801,24LC256,SOIC-8_3.9x4.9mm_P1.27mm,191.596,-112.788,90.0,top
U901,6N137,SOP-8_6.62x9.15mm_P2.54mm,246.5,-100.5,90.0,top
Y201,Crystal_GND2,crystal_arduino,226.049411,-112.531,0.0,top
Y501,Crystal,crystal_arduino,194.815,-106.875,-90.0,top
