Comment,Designator,Footprint,LCSC
D,D2504,diode4matrix,
D,D2207,diode4matrix,
D,D1904,diode4matrix,
D,D1907,diode4matrix,
D,D1701,diode4matrix,
D,D2402,diode4matrix,
D,D1702,diode4matrix,
D,D1404,diode4matrix,
D,D2005,diode4matrix,
D,D1308,diode4matrix,
D,D1707,diode4matrix,
D,D2103,diode4matrix,
D,D2003,diode4matrix,
D,D1303,diode4matrix,
D,D2008,diode4matrix,
D,D1706,diode4matrix,
D,D1806,diode4matrix,
D,D1304,diode4matrix,
D,D2301,diode4matrix,
D,D1807,diode4matrix,
Screw_Terminal_01x03,J801,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2303,diode4matrix,
D,D1101,diode4matrix,
D,D2604,diode4matrix,
D,D1902,diode4matrix,
D,D1305,diode4matrix,
D,D1207,diode4matrix,
D,D1608,diode4matrix,
D,D2403,diode4matrix,
D,D1705,diode4matrix,
D,D1105,diode4matrix,
D,D2204,diode4matrix,
D,D1802,diode4matrix,
D,D2601,diode4matrix,
D,D1301,diode4matrix,
D,D2608,diode4matrix,
D,D1808,diode4matrix,
D,D1601,diode4matrix,
D,D1903,diode4matrix,
D,D2307,diode4matrix,
D,D1401,diode4matrix,
D,D1803,diode4matrix,
D,D2507,diode4matrix,
D,D1603,diode4matrix,
Screw_Terminal_01x03,J501,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2503,diode4matrix,
Screw_Terminal_01x03,J901,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D1202,diode4matrix,
D,D2406,diode4matrix,
D,D2102,diode4matrix,
D,D1104,diode4matrix,
D,D1103,diode4matrix,
D,D2104,diode4matrix,
D,D1203,diode4matrix,
D,D2107,diode4matrix,
D,D2101,diode4matrix,
D,D2205,diode4matrix,
Screw_Terminal_01x03,J201,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2602,diode4matrix,
D,D2202,diode4matrix,
D,D1501,diode4matrix,
D,D2405,diode4matrix,
D,D1908,diode4matrix,
D,D1108,diode4matrix,
D,D1605,diode4matrix,
D,D2501,diode4matrix,
D,D1102,diode4matrix,
D,D1504,diode4matrix,
D,D1901,diode4matrix,
D,D2603,diode4matrix,
D,D1307,diode4matrix,
D,D1703,diode4matrix,
D,D1406,diode4matrix,
D,D2606,diode4matrix,
D,D1205,diode4matrix,
D,D1602,diode4matrix,
D,D1604,diode4matrix,
D,D2305,diode4matrix,
Screw_Terminal_01x03,J401,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D1408,diode4matrix,
D,D2401,diode4matrix,
D,D1204,diode4matrix,
D,D2306,diode4matrix,
D,D1704,diode4matrix,
D,D2106,diode4matrix,
D,D2001,diode4matrix,
D,D1405,diode4matrix,
D,D2304,diode4matrix,
D,D1508,diode4matrix,
Screw_Terminal_01x03,J601,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2408,diode4matrix,
D,D1607,diode4matrix,
D,D2201,diode4matrix,
D,D2208,diode4matrix,
D,D2506,diode4matrix,
D,D2302,diode4matrix,
D,D1905,diode4matrix,
D,D1505,diode4matrix,
Screw_Terminal_01x03,J2803,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D1506,diode4matrix,
D,D2108,diode4matrix,
D,D1801,diode4matrix,
D,D1201,diode4matrix,
D,D2105,diode4matrix,
D,D2502,diode4matrix,
Screw_Terminal_01x03,J2802,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D1906,diode4matrix,
D,D2404,diode4matrix,
D,D1107,diode4matrix,
D,D1804,diode4matrix,
D,D1407,diode4matrix,
D,D1402,diode4matrix,
D,D1208,diode4matrix,
Screw_Terminal_01x03,J701,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2505,diode4matrix,
D,D1306,diode4matrix,
D,D2006,diode4matrix,
Screw_Terminal_01x03,J301,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D1502,diode4matrix,
D,D1403,diode4matrix,
D,D2508,diode4matrix,
D,D2206,diode4matrix,
D,D1503,diode4matrix,
D,D1106,diode4matrix,
D,D2407,diode4matrix,
D,D1708,diode4matrix,
D,D1507,diode4matrix,
D,D1805,diode4matrix,
D,D1302,diode4matrix,
D,D2605,diode4matrix,
D,D2308,diode4matrix,
Screw_Terminal_01x03,J2801,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D2203,diode4matrix,
D,D1606,diode4matrix,
Screw_Terminal_01x02,J2701,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
D,D2007,diode4matrix,
D,D2004,diode4matrix,
D,D2607,diode4matrix,
D,D1206,diode4matrix,
D,D2002,diode4matrix,
