Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1101,D,diode4matrix,75.232394,-172.232394,135.0,top
D1102,D,diode4matrix,81.732394,-172.232394,135.0,top
D1103,D,diode4matrix,88.232394,-172.232394,135.0,top
D1104,D,diode4matrix,94.732394,-172.232394,135.0,top
D1105,D,diode4matrix,101.232394,-172.232394,135.0,top
D1106,D,diode4matrix,107.732394,-172.232394,135.0,top
D1107,D,diode4matrix,114.232394,-172.232394,135.0,top
D1108,D,diode4matrix,120.732394,-172.232394,135.0,top
D1201,D,diode4matrix,75.232394,-165.232394,135.0,top
D1202,D,diode4matrix,81.732394,-165.232394,135.0,top
D1203,D,diode4matrix,88.232394,-165.232394,135.0,top
D1204,D,diode4matrix,94.732394,-165.232394,135.0,top
D1205,D,diode4matrix,101.232394,-165.232394,135.0,top
D1206,D,diode4matrix,107.732394,-165.232394,135.0,top
D1207,D,diode4matrix,114.232394,-165.232394,135.0,top
D1208,D,diode4matrix,120.732394,-165.232394,135.0,top
D1301,D,diode4matrix,75.232394,-158.232394,135.0,top
D1302,D,diode4matrix,81.732394,-158.232394,135.0,top
D1303,D,diode4matrix,88.232394,-158.232394,135.0,top
D1304,D,diode4matrix,94.732394,-158.232394,135.0,top
D1305,D,diode4matrix,101.232394,-158.232394,135.0,top
D1306,D,diode4matrix,107.732394,-158.232394,135.0,top
D1307,D,diode4matrix,114.232394,-158.232394,135.0,top
D1308,D,diode4matrix,120.732394,-158.232394,135.0,top
D1401,D,diode4matrix,75.232394,-151.232394,135.0,top
D1402,D,diode4matrix,81.732394,-151.232394,135.0,top
D1403,D,diode4matrix,88.232394,-151.232394,135.0,top
D1404,D,diode4matrix,94.732394,-151.232394,135.0,top
D1405,D,diode4matrix,101.232394,-151.232394,135.0,top
D1406,D,diode4matrix,107.732394,-151.232394,135.0,top
D1407,D,diode4matrix,114.232394,-151.232394,135.0,top
D1408,D,diode4matrix,120.732394,-151.232394,135.0,top
D1501,D,diode4matrix,75.232394,-144.232394,135.0,top
D1502,D,diode4matrix,81.732394,-144.232394,135.0,top
D1503,D,diode4matrix,88.232394,-144.232394,135.0,top
D1504,D,diode4matrix,94.732394,-144.232394,135.0,top
D1505,D,diode4matrix,101.232394,-144.232394,135.0,top
D1506,D,diode4matrix,107.732394,-144.232394,135.0,top
D1507,D,diode4matrix,114.232394,-144.232394,135.0,top
D1508,D,diode4matrix,120.732394,-144.232394,135.0,top
D1601,D,diode4matrix,75.232394,-137.232394,135.0,top
D1602,D,diode4matrix,81.732394,-137.232394,135.0,top
D1603,D,diode4matrix,88.232394,-137.232394,135.0,top
D1604,D,diode4matrix,94.732394,-137.232394,135.0,top
D1605,D,diode4matrix,101.232394,-137.232394,135.0,top
D1606,D,diode4matrix,107.732394,-137.232394,135.0,top
D1607,D,diode4matrix,114.232394,-137.232394,135.0,top
D1608,D,diode4matrix,120.732394,-137.232394,135.0,top
D1701,D,diode4matrix,75.232394,-130.232394,135.0,top
D1702,D,diode4matrix,81.732394,-130.232394,135.0,top
D1703,D,diode4matrix,88.232394,-130.232394,135.0,top
D1704,D,diode4matrix,94.732394,-130.232394,135.0,top
D1705,D,diode4matrix,101.232394,-130.232394,135.0,top
D1706,D,diode4matrix,107.732394,-130.232394,135.0,top
D1707,D,diode4matrix,114.232394,-130.232394,135.0,top
D1708,D,diode4matrix,120.732394,-130.232394,135.0,top
D1801,D,diode4matrix,75.232394,-123.232394,135.0,top
D1802,D,diode4matrix,81.732394,-123.232394,135.0,top
D1803,D,diode4matrix,88.232394,-123.232394,135.0,top
D1804,D,diode4matrix,94.732394,-123.232394,135.0,top
D1805,D,diode4matrix,101.232394,-123.232394,135.0,top
D1806,D,diode4matrix,107.732394,-123.232394,135.0,top
D1807,D,diode4matrix,114.232394,-123.232394,135.0,top
D1808,D,diode4matrix,120.732394,-123.232394,135.0,top
D1901,D,diode4matrix,75.232394,-116.232394,135.0,top
D1902,D,diode4matrix,81.732394,-116.232394,135.0,top
D1903,D,diode4matrix,88.232394,-116.232394,135.0,top
D1904,D,diode4matrix,94.732394,-116.232394,135.0,top
D1905,D,diode4matrix,101.232394,-116.232394,135.0,top
D1906,D,diode4matrix,107.732394,-116.232394,135.0,top
D1907,D,diode4matrix,114.232394,-116.232394,135.0,top
D1908,D,diode4matrix,120.732394,-116.232394,135.0,top
D2001,D,diode4matrix,75.232394,-109.232394,135.0,top
D2002,D,diode4matrix,81.732394,-109.232394,135.0,top
D2003,D,diode4matrix,88.232394,-109.232394,135.0,top
D2004,D,diode4matrix,94.732394,-109.232394,135.0,top
D2005,D,diode4matrix,101.232394,-109.232394,135.0,top
D2006,D,diode4matrix,107.732394,-109.232394,135.0,top
D2007,D,diode4matrix,114.232394,-109.232394,135.0,top
D2008,D,diode4matrix,120.732394,-109.232394,135.0,top
D2101,D,diode4matrix,75.232394,-102.232394,135.0,top
D2102,D,diode4matrix,81.732394,-102.232394,135.0,top
D2103,D,diode4matrix,88.232394,-102.232394,135.0,top
D2104,D,diode4matrix,94.732394,-102.232394,135.0,top
D2105,D,diode4matrix,101.232394,-102.232394,135.0,top
D2106,D,diode4matrix,107.732394,-102.232394,135.0,top
D2107,D,diode4matrix,114.232394,-102.232394,135.0,top
D2108,D,diode4matrix,120.732394,-102.232394,135.0,top
D2201,D,diode4matrix,75.232394,-95.232394,135.0,top
D2202,D,diode4matrix,81.732394,-95.232394,135.0,top
D2203,D,diode4matrix,88.232394,-95.232394,135.0,top
D2204,D,diode4matrix,94.732394,-95.232394,135.0,top
D2205,D,diode4matrix,101.232394,-95.232394,135.0,top
D2206,D,diode4matrix,107.732394,-95.232394,135.0,top
D2207,D,diode4matrix,114.232394,-95.232394,135.0,top
D2208,D,diode4matrix,120.732394,-95.232394,135.0,top
D2301,D,diode4matrix,75.232394,-88.232394,135.0,top
D2302,D,diode4matrix,81.732394,-88.232394,135.0,top
D2303,D,diode4matrix,88.232394,-88.232394,135.0,top
D2304,D,diode4matrix,94.732394,-88.232394,135.0,top
D2305,D,diode4matrix,101.232394,-88.232394,135.0,top
D2306,D,diode4matrix,107.732394,-88.232394,135.0,top
D2307,D,diode4matrix,114.232394,-88.232394,135.0,top
D2308,D,diode4matrix,120.732394,-88.232394,135.0,top
D2401,D,diode4matrix,75.232394,-81.232394,135.0,top
D2402,D,diode4matrix,81.732394,-81.232394,135.0,top
D2403,D,diode4matrix,88.232394,-81.232394,135.0,top
D2404,D,diode4matrix,94.732394,-81.232394,135.0,top
D2405,D,diode4matrix,101.232394,-81.232394,135.0,top
D2406,D,diode4matrix,107.732394,-81.232394,135.0,top
D2407,D,diode4matrix,114.232394,-81.232394,135.0,top
D2408,D,diode4matrix,120.732394,-81.232394,135.0,top
D2501,D,diode4matrix,75.232394,-74.232394,135.0,top
D2502,D,diode4matrix,81.732394,-74.232394,135.0,top
D2503,D,diode4matrix,88.232394,-74.232394,135.0,top
D2504,D,diode4matrix,94.732394,-74.232394,135.0,top
D2505,D,diode4matrix,101.232394,-74.232394,135.0,top
D2506,D,diode4matrix,107.732394,-74.232394,135.0,top
D2507,D,diode4matrix,114.232394,-74.232394,135.0,top
D2508,D,diode4matrix,120.732394,-74.232394,135.0,top
D2601,D,diode4matrix,75.232394,-67.732394,135.0,top
D2602,D,diode4matrix,81.732394,-67.732394,135.0,top
D2603,D,diode4matrix,88.232394,-67.732394,135.0,top
D2604,D,diode4matrix,94.732394,-67.732394,135.0,top
D2605,D,diode4matrix,101.232394,-67.732394,135.0,top
D2606,D,diode4matrix,107.732394,-67.732394,135.0,top
D2607,D,diode4matrix,114.232394,-67.732394,135.0,top
D2608,D,diode4matrix,120.732394,-67.732394,135.0,top
J201,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-167.0,90.0,top
J2701,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",124.445,-59.0,180.0,top
J2801,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",83.5,-59.0,180.0,top
J2802,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",98.0,-59.0,180.0,top
J2803,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",112.0,-59.0,180.0,top
J301,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-153.0,90.0,top
J401,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-139.0,90.0,top
J501,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-125.0,90.0,top
J601,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-111.0,90.0,top
J701,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-97.0,90.0,top
J801,Screw_Terminal_01x03,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",130.0,-83.0,90.0,top
