Comment,Designator,Footprint,LCSC
4A_DARLINGTON,Q102,TO-252-2,C12789
R_Potentiometer,RV101,Potentiometer_Bourns_TC33X_Vertical,C128550
470nF,C201,C_0805_2012Metric,C13967
100nF,C202,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100uF,C203,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
1N4148WS,D110,D_SOD-323,C2128
D,"D106,D107,D108,D109",D_SMA,C22452
LED,D111,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
470R,R110,R_0603_smalltext,C23179
0R1,"R106,R107",R_1206_3216Metric,C25334
10k,"R108,R109",R_0603_smalltext,C25804
100nF,"C101,C103,C104",C_0402_1005Metric,C307331
ATtiny1616-M,U101,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C507118
L78L05_SOT89,U201,SOT-89-3,C71136
Screw_Terminal_01x02,J103,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
Screw_Terminal_01x02,J104,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
Conn_01x03,J105,PinHeader_1x03_P1.27mm_Vertical,
