Comment,Designator,Footprint,LCSC
LED,D6,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LED,D5,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LED,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LED,D4,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LED,D3,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
LED,D2,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
red,J3,SolderWirePad_1x01_SMD_1x2mm,
3k3,R5,R_0603_smalltext,
10k,R3,R_0603_smalltext,
ditch,J1,SolderWirePad_1x01_SMD_1x2mm,
W1,J2,SolderWirePad_1x01_SMD_1x2mm,
4k7,R1,R_0603_smalltext,
W3,J7,SolderWirePad_1x01_SMD_1x2mm,
3k3,R2,R_0603_smalltext,
4k7,R6,R_0603_smalltext,
Conn_01x01_Pin,J4,SolderWirePad_1x01_SMD_1x2mm,
10k,R4,R_0603_smalltext,
W3,J5,SolderWirePad_1x01_SMD_1x2mm,
W1,J6,SolderWirePad_1x01_SMD_1x2mm,
