Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,113.284,-72.39,90.0,top
C2,100uF,CP_Elec_6.3x7.7,116.0,-69.85,0.0,bottom
D1,1N4148WS,D_SOD-323,110.778,-73.279,0.0,top
D2,1N4148WS,D_SOD-323,110.778,-67.818,0.0,top
D3,1N4148WS,D_SOD-323,110.778,-71.628,180.0,top
D4,1N4148WS,D_SOD-323,110.778,-69.723,180.0,top
D5,1N4148WS,D_SOD-323,115.316,-72.644,90.0,top
R1,100R,R_0402_1005Metric,116.967,-73.279,-90.0,top
R2,100R,R_0402_1005Metric,122.682,-73.279,-90.0,top
RV1,500R,Potentiometer_Bourns_TC33X_Vertical,114.3,-68.172,90.0,top
U1,LM317_SOT-223,SOT-223-3_TabPin2,119.888,-70.002,90.0,top
