Comment,Designator,Footprint,LCSC
motor,J102,N20_motor,
frog,J1,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
frog,J101,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",
D,D102,D_DO-34_SOD68_P7.62mm_Horizontal,
BD679,Q2,TO-126-3_Vertical,
1N4001,D1,D_DO-34_SOD68_P7.62mm_Horizontal,
SW_SPDT,SW103,limitSwitchVertical,
D,D101,D_DO-34_SOD68_P7.62mm_Horizontal,
SW_SPDT,SW102,limitSwitchVertical,
22k,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
SW_SPDT,SW104,limitSwitchVertical,
22k,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
BD679,Q1,TO-126-3_Vertical,
SW_SPDT,SW101,limitSwitchVertical,
1N4001,D2,D_DO-34_SOD68_P7.62mm_Horizontal,
