Comment,Designator,Footprint,LCSC
100nF,C602,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
100uF,C603,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
330nF,C601,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
1N4148WS,"D201,D202,D301,D302,D401,D402,D501,D502",D_SOD-323,C2128
NPN_TOR,Q101,SOT-23,C2145
100R,"R201,R301,R401,R501",R_0603_smalltext,C22775
MB10S,D601,TO-269AA,C2488
100nF,"C201,C301,C401,C501",C_0402_1005Metric,C307331
22k,"R101,R102",R_0603_smalltext,C31850
2k2,R103,R_0603_smalltext,C4190
MDD50N03D,"Q201,Q202,Q301,Q302,Q401,Q402,Q501,Q502",TO-252-2,C5357578
L78L12_SOT89,U601,SOT-89-3,C75501
