Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100nF,C_0402_1005Metric,113.797,-86.343,0.0,top
C301,100nF,C_0402_1005Metric,85.466,-88.153,180.0,top
C401,100nF,C_0402_1005Metric,113.773,-94.218,0.0,top
C501,100nF,C_0402_1005Metric,85.593,-96.029,180.0,top
C601,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.416,-111.587,-90.0,top
C602,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.274,-111.587,-90.0,top
C603,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.306,-112.349,-90.0,top
D201,1N4148WS,D_SOD-323,113.3095,-88.092999,0.0,top
D202,1N4148WS,D_SOD-323,113.1345,-84.733,180.0,top
D301,1N4148WS,D_SOD-323,85.9535,-86.403001,180.0,top
D302,1N4148WS,D_SOD-323,86.1285,-89.763,0.0,top
D401,1N4148WS,D_SOD-323,113.2855,-95.967999,0.0,top
D402,1N4148WS,D_SOD-323,113.1105,-92.608,180.0,top
D501,1N4148WS,D_SOD-323,86.0805,-94.279,180.0,top
D502,1N4148WS,D_SOD-323,86.2555,-97.639,0.0,top
D601,MB10S,TO-269AA,77.851,-112.014,180.0,top
Q101,NPN_TOR,SOT-23,109.474,-110.744,0.0,top
Q201,MDD50N03D,TO-252-2,104.662,-87.248,180.0,top
Q202,MDD50N03D,TO-252-2,121.527,-87.302999,0.0,top
Q301,MDD50N03D,TO-252-2,94.601,-87.248,0.0,top
Q302,MDD50N03D,TO-252-2,77.736,-87.193001,180.0,top
Q401,MDD50N03D,TO-252-2,104.638,-95.123,180.0,top
Q402,MDD50N03D,TO-252-2,121.503,-95.177999,0.0,top
Q501,MDD50N03D,TO-252-2,94.728,-95.124,0.0,top
Q502,MDD50N03D,TO-252-2,77.863,-95.069,180.0,top
R101,22k,R_0603_smalltext,106.553,-110.744,90.0,top
R102,22k,R_0603_smalltext,114.173,-110.744,-90.0,top
R103,2k2,R_0603_smalltext,112.522,-110.744,90.0,top
R201,100R,R_0603_smalltext,113.247,-90.002999,0.0,top
R301,100R,R_0603_smalltext,86.016,-84.493001,180.0,top
R401,100R,R_0603_smalltext,113.223,-97.877999,0.0,top
R501,100R,R_0603_smalltext,86.143,-92.369,180.0,top
U601,L78L12_SOT89,SOT-89-3,86.868,-112.776,90.0,top
